code,product_label,rwanda_exported_value_2001,rwanda_exported_value_2002,rwanda_exported_value_2003,rwanda_exported_value_2004,rwanda_exported_value_2005,rwanda_exported_value_2006,rwanda_exported_value_2007,rwanda_exported_value_2008,rwanda_exported_value_2009,rwanda_exported_value_2010,rwanda_exported_value_2011,rwanda_exported_value_2012,rwanda_exported_value_2013,rwanda_exported_value_2014,rwanda_exported_value_2015,rwanda_exported_value_2016,rwanda_exported_value_2017,rwanda_exported_value_2018
'76,Aluminium and articles thereof,61,92,163,63,164,167,211,105,2395,304,42,99,61,239,445,620,1059,1731
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",0,4,0,0,0,0,0,0,0,0,0,405,1423,1989,1589,1059,1211,1583
'70,Glass and glassware,21,51,4,0,0,12,28,247,610,18,163,758,1646,1351,555,707,866,1276
'96,Miscellaneous manufactured articles,9,0,0,0,7,26,46,36,89,207,622,2340,975,594,953,1694,1485,1154
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",6,0,0,0,22,0,6,40,45,174,3437,46,167,433,95,63,458,1101
'88,"Aircraft, spacecraft, and parts thereof",0,1,6,13,18,645,102,37,44,818,174,494,143,4372,3451,3580,3381,1096
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",109,4,3,23,13,27,91,74,283,234,131,142,254,308,265,533,749,831
'02,Meat and edible meat offal,0,0,3,0,0,0,0,20,31,13,4,84,146,0,42,0,0,704
'40,Rubber and articles thereof,72,31,6,11,55,97,64,116,46,41,48,63,696,390,640,221,376,680
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",0,0,8,12,0,12,1,2,65,106,93,80,27,83,106,263,187,665
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",2,0,1,8,6,47,100,42,53,234,490,679,896,510,909,1222,926,656
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1,0,0,5,0,10,22,12,1,3,0,0,168,1,157,256,552,603
'55,Man-made staple fibres,888,874,356,636,32,0,74,141,12,140,464,4,7,48,7,244,545,595
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",113,29,10,91,122,29,148,1,3,56,4,518,119,83,229,257,408,576
'97,"Works of art, collectors' pieces and antiques",77,45,99,108,237,257,477,1681,540,443,233,253,141,129,300,590,336,534
'83,Miscellaneous articles of base metal,7,1,0,14,0,9,376,151,4,22,6,162,216,193,80,43,50,468
'29,Organic chemicals,1,2,0,1,86,34,1,0,282,8,6,38,163,123,256,408,240,392
'38,Miscellaneous chemical products,0,0,33,46,10,0,995,47,38,75,12,13,69,24,93,47,96,357
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",10,10,4,172,496,41,37,13,45,125,157,179,57,85,81,104,335,311
'74,Copper and articles thereof,0,0,0,0,1,1,29,13,39,0,331,2290,1621,827,101,170,234,268
'05,"Products of animal origin, not elsewhere specified or included",0,0,0,0,6,0,3,1,1,312,3,1,9,24,5,0,0,253
'18,Cocoa and cocoa preparations,0,0,0,0,0,0,6,0,0,0,3,1,34,236,76,79,122,223
'30,Pharmaceutical products,1,40,66,40,158,223,356,328,154,226,1537,353,267,120,243,232,489,199
'89,"Ships, boats and floating structures",0,0,23,0,0,0,7,2,362,29,0,4,39,0,0,1,0,182
'91,Clocks and watches and parts thereof,1,0,0,0,0,5,1,32,0,24,0,0,4,16,23,32,99,181
'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",6,1,2,0,1,95,2,37,4,190,265,120,183,349,170,223,164,166
'95,"Toys, games and sports requisites; parts and accessories thereof",1,2,23,38,406,935,56,20,68,28,4,0,7,21,1806,27,149,160
'44,Wood and articles of wood; wood charcoal,69,11,1,6,51,141,76,366,145,127,381,162,202,781,541,96,70,118
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,0,0,0,0,0,0,1,23,3,4,12,15,10,18,2,8,22,108
'57,Carpets and other textile floor coverings,0,0,0,0,1,13,0,0,0,0,23,0,0,1,4,0,5,106
'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,0,0,0,0,0,0,0,3,0,1,12,2,5,3,1,0,14,92
'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",0,0,1,0,0,0,0,1,2,55,6,18,19,42,20,2,32,90
'35,Albuminoidal substances; modified starches; glues; enzymes,0,0,0,5,5,6,0,95,1,2,51,29,23,7,10,6,46,87
'24,Tobacco and manufactured tobacco substitutes,0,193,344,2,8,64,232,15,16,27,25,0,512,584,251,56,50,68
'81,Other base metals; cermets; articles thereof,0,5,0,0,0,0,0,0,332,0,209,6730,892,1996,147,106,200,62
'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",0,0,1,3,5,1,3,0,0,8,1,10,1,0,21,27,26,57
'54,Man-made filaments; strip and the like of man-made textile materials,21,2,10,7,139,15,0,5,0,0,1,11,20,44,16,12,2,49
'60,Knitted or crocheted fabrics,0,27,0,0,0,0,0,0,0,0,44,1,2,14,0,0,0,45
'52,Cotton,14,225,11,3,83,17,13,12,20,66,26,79,501,865,558,91,49,43
'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",0,0,0,0,0,0,0,0,0,0,0,2,32,5,2,1,36,40
'92,Musical instruments; parts and accessories of such articles,0,7,2,18,63,32,6,94,56,164,27,62,26,65,5,7,5,33
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",0,1,0,1,66,1,0,5,1751,135,4,0,7,40,326,2,13,27
'65,Headgear and parts thereof,0,0,0,0,0,0,0,0,0,9,0,0,2,17,4,5,7,24
'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,0,0,2,0,0,0,2,0,0,0,5,65,3,1,1,0,4,24
'37,Photographic or cinematographic goods,0,0,2,7,35,10,48,8,10,61,4,55,13,2,2,0,3,19
'53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,0,0,0,0,2,0,0,0,3,10,1,0,0,1,0,25,56,13
'31,Fertilisers,0,0,0,0,0,0,30,71,13,245,271,140,183,16,10,164,14,8
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,0,0,0,5,0,94,7,0,1,0,1,0,0,1,0,1,0,0
'43,Furskins and artificial fur; manufactures thereof,0,0,0,0,0,0,0,36,0,104,0,0,0,62,0,0,0,0
'45,Cork and articles of cork,0,0,0,0,0,0,0,0,0,1,33,1,0,1,0,0,0,0
'50,Silk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0,0,0,0,5,0,0,0,114,0,0,0,4,2,0,0,0,0
'79,Zinc and articles thereof,0,7,0,0,0,0,2,0,0,0,0,0,0,0,35,37,0,0
'80,Tin and articles thereof,0,35,42,469,0,0,0,0,1,0,0,0,3079,0,210,0,0,0
'75,Nickel and articles thereof,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
'93,Arms and ammunition; parts and accessories thereof,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
