Code,Product_label,Exported_value_in_2010,Exported_value_in_2011,Exported_value_in_2012,Exported_value_in_2013,Exported_value_in_2014,Exported_value_in_2015,Exported_value_in_2016,Exported_value_in_2017,Exported_value_in_2018,Exported_value_in_2019
'1007,Grain sorghum,1,0,22,32,59,32,2445,15,8,1
'1008,"Buckwheat, millet, canary seed and other cereals (excluding wheat and meslin, rye, barley, ...",0,6,4,14,6,0,0,13,1,
'1001,Wheat and meslin,0,13,9,97,1,0,0,267,0,
'1002,Rye,0,1,1,0,0,0,0,0,0,
'1003,Barley,0,0,0,0,0,0,0,0,0,
'1004,Oats,0,0,0,0,0,2,0,0,1,
'1005,Maize or corn,239,218,2166,2519,181,1034,972,456,75,
'1006,Rice,87,121,3587,12334,14897,18484,22819,31267,32574,
