Code,Product_label,Imported_value_in_2010,Imported_value_in_2011,Imported_value_in_2012,Imported_value_in_2013,Imported_value_in_2014,Imported_value_in_2015,Imported_value_in_2016,Imported_value_in_2017,Imported_value_in_2018,Imported_value_in_2019
'1001,Wheat and meslin,129086,158999,16524,61737,165362,122949,127851,147477,154099,88068
'1006,Rice,29898,37075,59089,55412,71670,48232,47306,92374,76882,7448
'1003,Barley,2480,2893,1,38,7221,5039,2229,4789,2100,1578
'1008,"Buckwheat, millet, canary seed and other cereals (excluding wheat and meslin, rye, barley, ...",49,55,108,84,72,49,50,26,32,65
'1005,Maize or corn,1052,1158,685,668,916,1348,1404,2001,765,51
'1007,Grain sorghum,398,805,2351,1025,587,818,11,2576,2471,
'1004,Oats,4,6,67,33,14,25,8,30,9,
'1002,Rye,0,0,0,0,0,0,2,0,0,
