code,product_label,tanzania_exported_value_2001,tanzania_exported_value_2002,tanzania_exported_value_2003,tanzania_exported_value_2004,tanzania_exported_value_2005,tanzania_exported_value_2006,tanzania_exported_value_2007,tanzania_exported_value_2008,tanzania_exported_value_2009,tanzania_exported_value_2010,tanzania_exported_value_2011,tanzania_exported_value_2012,tanzania_exported_value_2013,tanzania_exported_value_2014,tanzania_exported_value_2015,tanzania_exported_value_2016,tanzania_exported_value_2017,tanzania_exported_value_2018
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",5,46,81,737,1236,1288,4388,4764,7032,12062,16539,47263,17584,20495,23452,3017,6322,10764
'01,Live animals,1558,1591,1292,1073,1450,1192,1258,1511,1500,653,567,516,1126,1605,8420,999,54266,8829
'76,Aluminium and articles thereof,608,827,484,1292,3208,2991,4863,10617,5845,6784,12201,12963,4813,1409,1587,1242,2296,8200
'38,Miscellaneous chemical products,90,57,109,139,394,243,483,1381,699,2615,3556,2735,4396,5519,10827,3172,6317,7201
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",2167,2998,2801,3663,3396,2865,3294,3617,2564,2907,3184,12868,5848,60812,32918,5138,4632,6657
'02,Meat and edible meat offal,842,155,5,74,232,3325,1826,554,244,28,29,539,284,1955,4769,9021,13307,6441
'41,Raw hides and skins (other than furskins) and leather,7802,8047,6743,8600,7125,10576,19957,14548,6422,8030,15484,13638,14253,21068,10989,3568,5954,6008
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",84,104,127,462,673,28484,1354,3293,1618,3876,4608,5630,3327,4861,4408,8117,11894,5535
'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,0,0,0,0,1,2,18,7,3,35,51,37,402,293,1080,5833,1460,5529
'96,Miscellaneous manufactured articles,30,50,81,128,167,159,778,642,365,687,1199,781,4218,1778,1112,558,488,5177
'60,Knitted or crocheted fabrics,2469,989,2307,2725,1732,243,1909,5023,5009,1371,132,101,1077,2540,1464,4253,4076,4848
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",111,22,428,158,394,184,3463,4535,2273,1072,3201,3227,13368,17481,45180,23362,3744,4786
'55,Man-made staple fibres,466,410,1356,7491,1989,4625,2883,3771,883,773,1974,4742,5120,4311,3322,4567,5041,4659
'74,Copper and articles thereof,31,13,26,1216,12053,4201,8731,11713,5345,148949,13903,12579,12518,10266,9761,4660,5633,4176
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",319,668,342,824,876,1864,2897,27381,2693,24247,8143,11252,5583,38181,36751,45438,14183,4015
'88,"Aircraft, spacecraft, and parts thereof",46,136,20,331,625,5855,507,21137,3471,2453,14557,42576,23568,9151,188,4972,2483,4001
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",18,77,17,37,230,312,1253,58,167,1039,684,12298,2563,2137,1593,17117,3410,3113
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",19,45,54,1048,1110,2442,9779,12319,4012,4127,6016,10242,12984,7265,11425,872,914,2379
'17,Sugars and sugar confectionery,9039,9506,9448,10434,11550,8270,24352,11202,4188,12442,7274,11166,97920,62042,410,181,2110,2358
'83,Miscellaneous articles of base metal,29,3,8,174,68,316,671,350,286,696,369,3732,1600,351,1716,3761,1311,2289
'30,Pharmaceutical products,1325,395,1258,1517,1450,1143,1828,3662,8250,3035,3197,2533,2045,1922,972,1269,864,2146
'45,Cork and articles of cork,5,8,4,0,13,0,7,9,38,5,34,124,66,43,17,8,25,2092
'05,"Products of animal origin, not elsewhere specified or included",5187,4264,3949,3172,3058,5890,3912,4269,5765,4053,2520,4124,2994,2763,2218,2020,2404,1673
'21,Miscellaneous edible preparations,940,929,781,768,4293,1529,2726,2108,3226,9162,2480,3875,2074,7436,474,681,2198,1427
'43,Furskins and artificial fur; manufactures thereof,505,1090,1028,1029,1589,1423,1660,2822,5229,3672,3265,2831,2818,2199,2381,1404,2199,1248
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",317,637,1105,306,471,1214,2365,3708,1775,1256,867,7093,3880,3469,5237,3532,2171,1228
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",45,3,2,99,22,102,174,224,80,6190,404,368,343,161,261,45,46,1034
'95,"Toys, games and sports requisites; parts and accessories thereof",0,17,41,36,49,77,83,3808,253,5574,4624,294,150,341,165,580,292,932
'40,Rubber and articles thereof,765,559,449,4248,3448,5626,9450,3540,1883,5902,4168,5567,2283,3622,1307,1449,1600,846
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",95,49,1554,114,376,476,409,4298,1847,328,739,1491,2350,1099,1227,3784,1645,759
'13,"Lac; gums, resins and other vegetable saps and extracts",504,362,687,912,1047,744,1003,1225,617,621,549,503,590,570,362,201,165,703
'64,"Footwear, gaiters and the like; parts of such articles",2433,4840,1493,3362,2899,4775,4683,2560,4561,4707,2108,2815,2442,12597,12642,101,17277,593
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",1,0,0,703,0,19,486,1270,701,3673,2819,16499,1069,4971,607,103,281,592
