code,product_label,ssudan_exported_value_2001,ssudan_exported_value_2002,ssudan_exported_value_2003,ssudan_exported_value_2004,ssudan_exported_value_2005,ssudan_exported_value_2006,ssudan_exported_value_2007,ssudan_exported_value_2008,ssudan_exported_value_2009,ssudan_exported_value_2010,ssudan_exported_value_2011,ssudan_exported_value_2012,ssudan_exported_value_2013,ssudan_exported_value_2014,ssudan_exported_value_2015,ssudan_exported_value_2016,ssudan_exported_value_2017,ssudan_exported_value_2018,ssudan_exported value in 2019
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",,,,,,,,,,,,,3,34,6,22,4,,
'54,Man-made filaments; strip and the like of man-made textile materials,,,,,,,,,,,,,,,,58,,,
'55,Man-made staple fibres,,,,,,,,,,,,,,2,,4,,,
'57,Carpets and other textile floor coverings,,,,,,,,,,,,,,1,,,,,
'61,"Articles of apparel and clothing accessories, knitted or crocheted",,,,,,,,,,,,,8,,12,,,,
'38,Miscellaneous chemical products,,,,,,,,,,,,,,,2,,183,,
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",,,,,,,,,,,,,,13,,,,,
'26,"Ores, slag and ash",,,,,,,,,,,,,2,,,,,,
'30,Pharmaceutical products,,,,,,,,,,,,,782,27,,,,,
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",,,,,,,,,,,,,,,,29,,,
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,,,,,,,,,,,,2,,101,25,61,,,
'21,Miscellaneous edible preparations,,,,,,,,,,,,,2,,,13,,,
'09,"Coffee, tea, maté and spices",,,,,,,,,,,,2,26,24,52,158,,,
'05,"Products of animal origin, not elsewhere specified or included",,,,,,,,,,,,1,1,,,2,2,,
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,,,,2,,,,,,,
