Code,Product_label,Imported_value_in_2010,Imported_value_in_2011,Imported_value_in_2012,Imported_value_in_2013,Imported_value_in_2014,Imported_value_in_2015,Imported_value_in_2016,Imported_value_in_2017,Imported_value_in_2018,Imported_value_in_2019
'1001,Wheat and meslin,219687,354946,352346,350516,384681,364101,284684,410119,423419,376377
'1006,Rice,100321,141996,172002,163838,174026,136499,139963,259050,252576,97151
'1005,Maize or corn,68968,129242,76417,26596,105845,85537,35845,389467,118525,11040
'1007,Grain sorghum,2928,15163,18305,33440,44678,47983,29248,31068,39541,3279
'1008,"Buckwheat, millet, canary seed and other cereals (excluding wheat and meslin, rye, barley, ...",4753,5280,11677,2495,10562,11793,4278,20852,8200,23
'1004,Oats,0,0,39,27,64,82,180,10,1,1
'1002,Rye,59,20,42,113,182,91,381,757,775,
'1003,Barley,32,3625,83,56,105,3,9,2,2,
