code,product_label,burundi_imported_value_2001,burundi_imported_value_2002,burundi_imported_value_2003,burundi_imported_value_2004,burundi_imported_value_2005,burundi_imported_value_2006,burundi_imported_value_2007,burundi_imported_value_2008,burundi_imported_value_2009,burundi_imported_value_2010,burundi_imported_value_2011,burundi_imported_value_2012,burundi_imported_value_2013,burundi_imported_value_2014,burundi_imported_value_2015,burundi_imported_value_2016,burundi_imported_value_2017,burundi_imported_value_2018
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",18,3,1,5,99,5,9,1,233,2,932,94,367,8,9,18,58,28
'78,Lead and articles thereof,4,4,2,1,0,55,20,0,9,1,15,25,31,4,7,0,6,18
'53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,1,1,0,0,15,3,0,0,61,439,147,1,0,1,3,6,15,16
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",316,4,0,0,45,69,0,18,60,18,3,10,77,41,5,11,36,9
'79,Zinc and articles thereof,45,29,3,75,40,732,109,8,88,9,1,5,13,31,901,1,7,9
'05,"Products of animal origin, not elsewhere specified or included",2,27,6,6,22,12,21,16,26,22,165,184,31,147,59,16,242,7
'26,"Ores, slag and ash",1,0,0,0,0,0,30,0,2,0,1,212,2,2,0,11,19,7
'97,"Works of art, collectors' pieces and antiques",3,5,7,2,9,41,78,3,90,9,9,123,280,37,5,6,282,5
'45,Cork and articles of cork,4,1,0,0,0,9,1,0,3,1,13,4,1,12,4,2,0,3
'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",10,23,10,9,21,10,18,11,83,2293,7,705,51,2,6,32,20,2
'93,Arms and ammunition; parts and accessories thereof,1,1,0,1,85,20527,7,14,515,27,256,2855,295,95,8,673,1742,2
'80,Tin and articles thereof,0,5,107,0,0,16750,3,0,0,8,0,0,2,2,0,1,0,1
'50,Silk,0,0,0,23,0,0,0,5,24,0,407,2,408,1,1,1,0,1
'43,Furskins and artificial fur; manufactures thereof,0,0,2,0,0,0,0,0,0,0,1,3,7,13,3,6,6,1
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,0,7,1,0,0,0,0,0,182,1,0,0,1,2,26,39,120,1
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,67,59,77,120,155,58,29,74,3,0,61,40,2,7,754,0,0,0
'81,Other base metals; cermets; articles thereof,2,0,0,4,0,0,1,15,707,2,0,9,3,0,0,0,0,0
'75,Nickel and articles thereof,0,0,0,0,0,0,0,0,141,1,67,2,0,0,1,0,0,0
'99,Commodities not elsewhere specified,586,848,0,0,0,0,674,1427,728,372,441,1270,1697,29,0,0,0,0
