Code,Product_label,Imported_value_in_2010,Imported_value_in_2011,Imported_value_in_2012,Imported_value_in_2013,Imported_value_in_2014,Imported_value_in_2015,Imported_value_in_2016,Imported_value_in_2017,Imported_value_in_2018,Imported_value_in_2019
'1001,Wheat and meslin,291943,404381,244140,307093,319323,222026,199814,141748,9179,174541
'1005,Maize or corn,15676,15423,39433,38364,19882,30000,11267,43322,20644,29312
'1006,Rice,475,15752,11448,33709,2973,8913,1231,533,1095,13143
'1004,Oats,9,8,2,1,5,9,72,9,2,7
'1008,"Buckwheat, millet, canary seed and other cereals (excluding wheat and meslin, rye, barley, ...",23,179,190,11246,1254,17,9,48,18,1
'1007,Grain sorghum,444,385,303,511,13,16,946,675,0,
'1002,Rye,0,0,0,1,0,3,0,0,0,
'1003,Barley,272,34576,4853,4583,3278,120,121,1502,10,
