code,product_label,kenya_exported_value_2001,kenya_exported_value_2002,kenya_exported_value_2003,kenya_exported_value_2004,kenya_exported_value_2005,kenya_exported_value_2006,kenya_exported_value_2007,kenya_exported_value_2008,kenya_exported_value_2009,kenya_exported_value_2010,kenya_exported_value_2011,kenya_exported_value_2012,kenya_exported_value_2013,kenya_exported_value_2014,kenya_exported_value_2015,kenya_exported_value_2016,kenya_exported_value_2017,kenya_exported_value_2018
'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",280,221,726,422,506,552,756,778,517,717,794,1018,1092,918,754,729,1113,1364
'52,Cotton,2855,2290,2714,2456,6538,6155,4175,2464,2932,3672,2362,3055,2890,1998,2214,2078,2004,1357
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,1,80,238,77,5,119,189,261,561,873,1427,2567,1866,1643,1628,2023,1355,1050
'54,Man-made filaments; strip and the like of man-made textile materials,815,217,2307,795,274,745,643,254,523,466,953,533,985,919,1287,510,328,601
'60,Knitted or crocheted fabrics,150,249,495,325,450,299,146,209,201,4825,845,1662,387,792,537,907,501,440
'91,Clocks and watches and parts thereof,17,61,81,32,52,216,547,94,189,458,412,575,298,439,446,272,392,427
'80,Tin and articles thereof,13,8,50,52,174,67,37,50,20,52,411,332,458,296,196,191,255,385
'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",352,145,747,693,549,360,339,253,219,1248,1133,1371,464,482,472,450,357,366
'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,20,116,291,254,463,264,419,670,546,1864,1353,1683,1541,1023,421,659,304,326
'65,Headgear and parts thereof,123,195,326,297,506,627,811,1176,655,735,909,1007,1067,603,670,436,363,268
'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",5,657,389,133,346,611,425,111,907,298,332,356,302,449,295,115,749,225
'57,Carpets and other textile floor coverings,24,3,42,214,203,462,294,316,235,499,497,454,142,324,213,288,1828,214
'37,Photographic or cinematographic goods,339,4948,2982,1806,3123,3625,1294,500,442,523,556,406,250,558,308,207,245,176
'75,Nickel and articles thereof,0,130,147,26,123,519,37,52,2,308,4,12,179,7,9,50,161,81
'92,Musical instruments; parts and accessories of such articles,26,18,26,49,589,79,24,63,45,91,36,58,28,51,90,119,81,76
'81,Other base metals; cermets; articles thereof,9,2,469,135,39,18,139,32,10,12,2,11,1,13,29,63,50,73
'93,Arms and ammunition; parts and accessories thereof,281,3,1663,461,594,736,10,31,260,26,75,390,1075,466,321,113,198,13
'45,Cork and articles of cork,1,18,29,15,13,40,3,6,47,2,1,2,0,0,0,0,0,12
'50,Silk,2,1,30,111,49,5,3,2,2,1,18,1,15,2,2,0,12,5
'43,Furskins and artificial fur; manufactures thereof,22,3,3,5,50,41,20,2,158,62,3,1,5,3,14,109,0,1
'78,Lead and articles thereof,24,3,80,207,88,1065,3702,3051,975,5436,2328,1355,661,60,41,0,6,0
'99,Commodities not elsewhere specified,759,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
