Code,Product_label,Exported_value_in_2010,Exported_value_in_2011,Exported_value_in_2012,Exported_value_in_2013,Exported_value_in_2014,Exported_value_in_2015,Exported_value_in_2016,Exported_value_in_2017,Exported_value_in_2018,Exported_value_in_2019
'1005,Maize or corn,1185,2181,38510,8857,107400,11240,20042,5071,42803,7159
'1006,Rice,14348,12718,5427,20003,19193,1049,2715,152,11539,27
'1007,Grain sorghum,167,909,5482,39,113,12,127,77,868,
'1008,"Buckwheat, millet, canary seed and other cereals (excluding wheat and meslin, rye, barley, ...",4912,6790,6768,5643,3482,4264,141,101,444,
'1001,Wheat and meslin,11422,5918,20439,6051,16001,13906,73,1422,315,
'1002,Rye,0,0,0,0,0,0,277,0,0,
'1003,Barley,504,542,352,0,9,633,43,0,0,
'1004,Oats,0,0,0,1,0,9,35,0,0,
