code,product_label,ssudan_imported value_2001,ssudan_imported value_2002,ssudan_imported value_2003,ssudan_imported value_2004,ssudan_imported value_2005,ssudan_imported value_2006,ssudan_imported value_2007,ssudan_imported value_2008,ssudan_imported value_2009,ssudan_imported value_2010,ssudan_imported value_2011,ssudan_imported value_2012,ssudan_imported value_2013,ssudan_imported value_2014,ssudan_imported value_2015,ssudan_imported value_2016,ssudan_imported value_2017,ssudan_imported value_2018,ssudan_imported value in 2019
'52,Cotton,,,,,,,,,,,,333,530,916,1449,2245,224,740,
'96,Miscellaneous manufactured articles,,,,,,,,,,,,231,488,623,1418,747,1076,732,
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",,,,,,,,,,,,538,123,267,673,316,1132,721,
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,,,,,,1093,1154,1721,989,751,882,710,
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,,,,,,,,,,,,1403,3664,1776,1431,1155,39,580,
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",,,,,,,,,,,,200,345,330,573,3470,22282,575,
'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,,,,,,,,,,,,12,113,237,2672,73,150,561,
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",,,,,,,,,,,,691,4,19,791,6,1,528,
'31,Fertilisers,,,,,,,,,,,,457,117,39,482,143,221,470,
'74,Copper and articles thereof,,,,,,,,,,,,129,60,79,439,179,65,462,
'89,"Ships, boats and floating structures",,,,,,,,,,,,431,275,415,588,256,123,457,
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,,,,34,928,486,554,171,116,375,
'45,Cork and articles of cork,,,,,,,,,,,,,160,8,12,90,9,338,
'08,Edible fruit and nuts; peel of citrus fruit or melons,,,,,,,,,,,,181,324,1443,1059,745,1155,310,
'70,Glass and glassware,,,,,,,,,,,,192,346,642,620,323,257,303,
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",,,,,,,,,,,,1135,5107,3568,4367,1986,1975,258,
'35,Albuminoidal substances; modified starches; glues; enzymes,,,,,,,,,,,,118,593,215,243,303,276,172,
'18,Cocoa and cocoa preparations,,,,,,,,,,,,47,34,93,159,23,19,168,
'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",,,,,,,,,,,,1,258,19,40,7,103,147,
'65,Headgear and parts thereof,,,,,,,,,,,,118,398,196,159,156,100,120,
'57,Carpets and other textile floor coverings,,,,,,,,,,,,10,11,23,135,7,32,94,
'75,Nickel and articles thereof,,,,,,,,,,,,1,,,,4,8,82,
'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",,,,,,,,,,,,63,305,241,236,117,204,74,
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",,,,,,,,,,,,242,653,593,292,192,135,70,
'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,,,,,,,,,,,,49,35,111,101,64,13,58,
'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",,,,,,,,,,,,46,77,79,61,12,70,49,
'13,"Lac; gums, resins and other vegetable saps and extracts",,,,,,,,,,,,,8,,1,,,46,
'81,Other base metals; cermets; articles thereof,,,,,,,,,,,,1,3,,,4,4,46,
'37,Photographic or cinematographic goods,,,,,,,,,,,,53,54,145,39,153,62,40,
'53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,,,,,13,,,2,,33,
'92,Musical instruments; parts and accessories of such articles,,,,,,,,,,,,13,20,12,4,18,20,21,
'97,"Works of art, collectors' pieces and antiques",,,,,,,,,,,,3,5,2,3,3,48,13,
'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",,,,,,,,,,,,1,10,30,22,1,,12,
'79,Zinc and articles thereof,,,,,,,,,,,,15,5,13,3,1,,10,
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,,,,,,6,10,212,491,181,57,8,
'80,Tin and articles thereof,,,,,,,,,,,,1,,,,,,6,
'05,"Products of animal origin, not elsewhere specified or included",,,,,,,,,,,,23,1,5,21,,2,5,
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,,,,,,,,,,,,100,,149,49,5,,3,
'91,Clocks and watches and parts thereof,,,,,,,,,,,,39,17,45,5,68,11,3,
'01,Live animals,,,,,,,,,,,,20,3,9,97,37,10,2,
'50,Silk,,,,,,,,,,,,,,,,,1,1,
'78,Lead and articles thereof,,,,,,,,,,,,22,,,4,1,1,1,
'43,Furskins and artificial fur; manufactures thereof,,,,,,,,,,,,,,,,6,,,
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,,,,,,,,,,,,2,6,,1,,9,,
'41,Raw hides and skins (other than furskins) and leather,,,,,,,,,,,,,,,1,,,,
'26,"Ores, slag and ash",,,,,,,,,,,,,4,14,2,26,41,,
