Code,Product_label,Exported_value_in_2010,Exported_value_in_2011,Exported_value_in_2012,Exported_value_in_2013,Exported_value_in_2014,Exported_value_in_2015,Exported_value_in_2016,Exported_value_in_2017,Exported_value_in_2018,Exported_value_in_2019
'1008,"Buckwheat, millet, canary seed and other cereals (excluding wheat and meslin, rye, barley, ...",1907,901,455,600,3479,15769,8818,21805,8210,42
'1005,Maize or corn,27277,17096,41931,26749,28977,63110,56594,82981,89532,2
'1003,Barley,0,0,14,0,22,16,0,0,18,1
'1004,Oats,0,0,187,325,381,1741,2213,975,859,
'1001,Wheat and meslin,2574,2472,515,738,91,347,82,57,28,
'1002,Rye,0,0,10,1,36,0,0,18,0,
'1006,Rice,16456,18442,38886,36966,28688,24186,20274,26964,26900,
'1007,Grain sorghum,1404,346,118,123,2043,36890,3682,50259,66477,
