code,product_label,tanzania_imported_value_2001,tanzania_imported_value_2002,tanzania_imported_value_2003,tanzania_imported_value_2004,tanzania_imported_value_2005,tanzania_imported_value_2006,tanzania_imported_value_2007,tanzania_imported_value_2008,tanzania_imported_value_2009,tanzania_imported_value_2010,tanzania_imported_value_2011,tanzania_imported_value_2012,tanzania_imported_value_2013,tanzania_imported_value_2014,tanzania_imported_value_2015,tanzania_imported_value_2016,tanzania_imported_value_2017,tanzania_imported_value_2018
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",16132,10939,30786,14216,16982,17612,28564,38012,32154,37796,54679,50585,44108,52028,33546,37146,27481,29176
'96,Miscellaneous manufactured articles,4114,5426,4708,4374,4736,5075,6810,10122,9527,12073,13003,25515,32878,44646,29008,36234,29999,28405
'61,"Articles of apparel and clothing accessories, knitted or crocheted",4617,5245,4964,5331,5880,5777,4185,8849,7857,10362,14448,18594,25710,28924,20934,24642,23123,27692
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",8965,10134,10735,6055,7512,11598,14123,23466,22989,29611,22837,20309,31519,33097,31747,31452,29028,27248
'89,"Ships, boats and floating structures",2972,4420,4389,2897,2085,4033,5843,9607,14785,32744,49600,162627,82702,39395,7842,25709,67195,24714
'23,Residues and waste from the food industries; prepared animal fodder,647,747,1320,1006,1381,1479,2229,2596,3228,4200,4285,6087,7125,10802,8151,10270,12386,24413
'74,Copper and articles thereof,2454,2322,3066,3428,4975,9038,19293,22328,15327,18401,21597,19726,20899,27719,19272,17068,16026,21554
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",2800,3417,3084,6399,6636,10073,10523,12811,10688,13468,19281,22176,23781,25938,21445,22949,19720,20875
'44,Wood and articles of wood; wood charcoal,3272,4594,4911,12859,8537,8734,11209,22884,21385,20681,30093,35793,32237,82696,52070,29786,24476,19980
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",3873,2909,4210,3557,1696,2754,8428,12078,9123,10952,10216,61328,9209,31445,17489,20671,17814,18239
'21,Miscellaneous edible preparations,17774,14658,12354,23309,16705,14425,20572,18221,16484,18770,10363,16936,15799,15610,14052,15326,16368,17686
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1701,2354,2922,3763,2918,4861,6279,6929,8873,10208,11385,12856,16372,20243,17471,17026,17942,17560
'54,Man-made filaments; strip and the like of man-made textile materials,4556,6423,7207,7163,10721,8084,11963,11340,9491,16766,17302,11611,14494,13080,12576,17955,11739,14968
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",4049,4755,5283,5744,5730,7204,8803,9170,9322,10235,11059,10887,12015,12364,16659,11093,12108,14885
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,4449,3262,4648,4137,4406,5414,6889,6988,8479,9367,11275,13328,14737,15351,8976,10527,11507,11508
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",4384,3546,3993,3375,3305,3671,4793,5078,7538,8449,11878,16273,14124,25696,10419,11896,12749,11447
'24,Tobacco and manufactured tobacco substitutes,3126,562,3323,4581,7595,5564,6152,8271,15042,2946,8714,19042,34236,32038,15202,11178,5814,10467
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",594,51,455,121,447,819,2129,3728,3654,4364,3267,6091,9210,18007,17250,21705,14554,10290
'60,Knitted or crocheted fabrics,154,504,323,404,402,391,260,973,1327,5388,11116,13846,8827,7654,7157,11939,7991,10219
'35,Albuminoidal substances; modified starches; glues; enzymes,2059,2565,2869,2481,2749,2857,3288,3969,4488,5606,4924,7305,7509,7913,7526,9083,9588,9337
'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",9013,10633,14724,12698,16499,19807,20551,22178,17701,17763,14981,14943,14051,17183,15020,13275,9613,8729
'79,Zinc and articles thereof,5412,4819,4876,7352,7968,28199,36170,28622,16379,26072,18200,18632,20755,21414,17228,6277,8036,8655
'07,Edible vegetables and certain roots and tubers,5632,3957,3045,3619,4866,4652,4694,2242,3207,801,2367,4328,3442,5516,3392,5726,8652,8151
'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",1477,1861,1430,1452,1844,1482,1946,2893,2397,2148,3615,4419,3680,4906,5147,5693,5510,6802
