Code,Product_label,Imported_value_in_2010,Imported_value_in_2011,Imported_value_in_2012,Imported_value_in_2013,Imported_value_in_2014,Imported_value_in_2015,Imported_value_in_2016,Imported_value_in_2017,Imported_value_in_2018,Imported_value_in_2019
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,20660,27672,31156,34028,31927,34963,31418,30072,34708,22243
'95,"Toys, games and sports requisites; parts and accessories thereof",23921,21538,24342,26461,31024,32226,29383,25675,31232,71419
'18,Cocoa and cocoa preparations,18297,20396,21257,20893,23572,21690,19539,21553,27678,18562
'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",11336,13744,17844,16561,18979,21305,20838,21192,26165,47859
'26,"Ores, slag and ash",29078,14700,7712,12988,10835,20548,17768,19024,19715,6565
'01,Live animals,9593,9757,12749,11515,11964,16441,11939,14486,18253,15511
'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,12606,24750,28754,22637,18663,25548,15503,15466,17621,27981
'57,Carpets and other textile floor coverings,11210,11349,12128,14780,15434,12233,13914,13257,16816,18138
'65,Headgear and parts thereof,10223,9330,9567,11562,18492,19884,15100,20205,16474,24264
'02,Meat and edible meat offal,3761,10929,10036,9681,19991,97019,19056,16556,13173,10895
'37,Photographic or cinematographic goods,25856,22750,23541,21872,20358,14564,12854,11504,12748,13513
'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,4717,4719,7935,10187,14443,11110,7408,7278,11448,46337
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",4719,5615,6590,6188,8498,8709,6457,8621,11431,36126
'41,Raw hides and skins (other than furskins) and leather,8470,11354,16570,16634,13523,13787,9759,10302,10982,816
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",13089,14538,12822,10249,12976,9634,7764,8429,9120,8354
'13,"Lac; gums, resins and other vegetable saps and extracts",5746,8156,7522,6902,5602,5432,5597,6940,7867,7876
'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",4656,4053,6000,5159,6101,5686,6641,5243,7016,22770
'91,Clocks and watches and parts thereof,10832,5827,5710,5788,5298,5362,5460,5181,6266,13270
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,2909,1908,2250,2501,2037,2545,3243,2424,6252,12274
'92,Musical instruments; parts and accessories of such articles,2704,2219,2781,1985,3607,3173,3270,4906,4868,3380
'78,Lead and articles thereof,2924,3829,3147,3897,6293,3187,2187,2253,3040,1599
'53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,9725,6861,7350,2945,3123,4350,3725,2624,3027,3435
'05,"Products of animal origin, not elsewhere specified or included",6576,5585,8385,3712,2190,6264,1681,1516,1966,13756
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,434,571,703,507,480,718,1173,1585,1823,336
'97,"Works of art, collectors' pieces and antiques",1697,1215,1266,2694,1296,1629,1167,1596,1326,2504
'80,Tin and articles thereof,479,1680,842,1363,846,1032,1625,1247,1265,1826
'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",650,870,689,571,572,689,447,456,1151,3282
'81,Other base metals; cermets; articles thereof,356,1141,1271,1051,791,754,981,444,751,706
'75,Nickel and articles thereof,636,857,456,1400,890,1030,375,313,388,757
'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",2805,705,1136,513,551,128,258,219,261,319
'50,Silk,351,679,329,740,222,369,215,169,238,6603
'45,Cork and articles of cork,152,265,249,238,236,95,147,169,235,135
'43,Furskins and artificial fur; manufactures thereof,1061,828,648,790,1652,1692,358,165,77,108
'99,Commodities not elsewhere specified,372,441,1270,1695,29,,,,,203520
