Code,Product_label,Imported_value_in_2010,Imported_value_in_2011,Imported_value_in_2012,Imported_value_in_2013,Imported_value_in_2014,Imported_value_in_2015,Imported_value_in_2016,Imported_value_in_2017,Imported_value_in_2018,Imported_value_in_2019
'1001,Wheat and meslin,1978,7547,15411,21216,19041,0,16646,20773,20508,13422
'1006,Rice,9974,4890,9048,14423,6093,173826,6014,25638,9526,4261
'1005,Maize or corn,721,14714,25963,2859,2714,289,6383,11567,11850,293
'1007,Grain sorghum,36,40,10,5,42,59,0,11,41,
'1008,"Buckwheat, millet, canary seed and other cereals (excluding wheat and meslin, rye, barley, ...",8,19,64,144,1171,1,53,12,678,
'1002,Rye,0,0,0,0,0,0,0,3,75,
'1003,Barley,0,0,0,0,0,0,0,0,0,
'1004,Oats,0,0,0,0,0,0,0,1,0,
