code,product_label,rwanda_imported value in 2001,rwanda_imported value in 2002,rwanda_imported value in 2003,rwanda_imported value in 2004,rwanda_imported value in 2005,rwanda_imported value in 2006,rwanda_imported value in 2007,rwanda_imported value in 2008,rwanda_imported value in 2009,rwanda_imported value in 2010,rwanda_imported value in 2011,rwanda_imported value in 2012,rwanda_imported value in 2013,rwanda_imported value in 2014,rwanda_imported value in 2015,rwanda_imported value in 2016,rwanda_imported value in 2017,rwanda_imported value in 2018
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",3593,2900,1258,944,938,760,1998,2145,2155,4868,3512,5836,3012,3132,5007,9244,13451,13032
'83,Miscellaneous articles of base metal,2032,1627,1876,1791,2523,2877,3606,5344,4792,5820,7472,8037,9942,13087,10838,10943,13124,12776
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",816,585,1421,975,1149,1556,3572,3759,2784,4146,4001,6359,7713,12157,22182,15045,11742,12668
'61,"Articles of apparel and clothing accessories, knitted or crocheted",617,798,816,675,1953,1740,3142,4578,3550,4599,6220,5691,3265,4182,5330,12041,8400,11867
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1027,1236,1001,1285,2222,2939,3842,6778,5188,9670,10043,11143,8767,11185,11078,14093,12675,11561
'29,Organic chemicals,1143,1318,1198,1160,1241,944,1697,3075,4965,3737,5976,7850,12668,7130,9175,6632,11961,11076
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",31528,3481,4364,5442,10660,5721,7962,18929,14923,16470,17706,12607,15726,48501,9064,12190,13648,10231
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",2252,2707,2360,2038,4396,4346,2871,7426,3757,4126,5574,6555,4998,6410,6083,7326,9410,8262
'08,Edible fruit and nuts; peel of citrus fruit or melons,7,3,10,20,28,135,924,697,724,1545,2093,2989,3538,4626,6116,7277,6871,7775
'23,Residues and waste from the food industries; prepared animal fodder,34,94,101,98,2,21,165,99,199,536,977,1480,1284,1581,2269,3126,6953,7355
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",759,302,513,506,733,739,1567,3043,1581,2520,3240,7334,5712,5114,7678,7504,6992,7184
'54,Man-made filaments; strip and the like of man-made textile materials,861,1084,1066,1061,471,633,634,706,612,688,1171,1431,1233,2352,2442,2357,5626,6873
'09,"Coffee, tea, maté and spices",697,40,23,55,46,288,356,1943,218,510,1141,1930,1672,2345,1794,2519,2494,5791
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",364,484,470,505,654,853,903,1093,958,1188,1488,1587,1574,1819,2551,4433,3933,5040
'24,Tobacco and manufactured tobacco substitutes,1318,1647,522,1476,251,2030,3240,4887,4356,4037,4831,4689,5912,6184,4537,3504,3636,4682
'35,Albuminoidal substances; modified starches; glues; enzymes,182,306,475,599,449,637,867,1179,819,1548,1566,1778,2089,2769,3793,3188,4084,4308
'52,Cotton,725,301,427,837,1151,1700,2024,2790,1685,3002,2254,2247,1744,2151,1616,2597,2805,4268
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,396,493,529,708,584,518,698,1690,1084,2008,2977,3594,2916,2525,3479,2805,5388,3593
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",1024,609,712,676,663,936,1022,1391,2238,2866,3750,8612,7054,2376,2755,3809,4145,3325
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",101,183,121,50,94,28,115,257,193,727,1285,1132,727,750,1477,1849,2682,3021
'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",171,111,114,226,150,78,174,205,254,369,343,564,850,963,1153,1459,2086,2325
'95,"Toys, games and sports requisites; parts and accessories thereof",245,169,326,325,661,917,1627,1939,1893,924,703,937,1602,1173,2927,2811,2141,2206
'57,Carpets and other textile floor coverings,82,116,102,261,912,158,108,1072,586,679,735,872,905,2249,2037,2721,1094,1880
'89,"Ships, boats and floating structures",32,60,195,1,165,156,499,247,1061,1556,1227,1126,163,1049,124,102,171,1819
'60,Knitted or crocheted fabrics,1,4,5,3,14,12,9,25,169,220,319,301,164,136,439,575,854,1782
'01,Live animals,12,217,145,183,9,19,401,3565,1909,2231,3159,4070,3991,1203,1306,1213,1069,1694
'78,Lead and articles thereof,2,1,23,3,913,59,17,100,29,13,43,1,4,25,18,10,297,1687
