Code,Product_label,Imported_value_in_2010,Imported_value_in_2011,Imported_value_in_2012,Imported_value_in_2013,Imported_value_in_2014,Imported_value_in_2015,Imported_value_in_2016,Imported_value_in_2017,Imported_value_in_2018,Imported_value_in_2019
'1001,Wheat and meslin,18994,37841,39662,58869,53908,35458,35696,58630,62211,25344
'1005,Maize or corn,21328,10226,16730,15125,22597,14379,22849,32293,33610,1306
'1006,Rice,19060,18796,24127,31497,24237,51334,66705,85267,71793,368
'1008,"Buckwheat, millet, canary seed and other cereals (excluding wheat and meslin, rye, barley, ...",10,25,73,111,529,56,63,55,65,3
'1007,Grain sorghum,2186,2347,4370,2135,3889,5431,2137,4852,8450,
'1002,Rye,33,0,0,0,1,1,1,3,1,
'1003,Barley,0,0,0,0,0,0,3,21,66,
'1004,Oats,0,0,0,5,11,26,6,10,3,
