Country,Weighted Average,Minimum,Maximum,Range,Standard deviation
Mauritius,37.75227486,0.1832,0.4971,0.3139,0.08484902
Mexico,33.05528395,1.00E-04,1,0.9999,0.197873374
Republic of Moldova,91.18658964,0.1464,1.0002,0.8538,0.156876115
Monaco,23.52970298,0.0893,0.4553,0.366,0.140199918
Mongolia,35.46569576,1.00E-04,0.9555,0.9554,0.148638478
Morocco,22.51474531,1.00E-04,0.834,0.8339,0.188743616
Mozambique,57.6616779,0.0017,1.0001,0.9984,0.191731282
Myanmar,16.89561919,9.00E-04,0.6054,0.6045,0.155265051
Namibia,17.8161542,2.00E-04,0.61,0.6098,0.100959933
Nepal,13.75777474,1.00E-04,0.8012,0.8011,0.217663927
Netherlands,39.16366949,0.0012,0.7843,0.7831,0.129438762
New Zealand,25.90379255,0.0016,0.9798,0.9782,0.184200458
Nicaragua,47.54135612,0.0017,0.9987,0.997,0.183356885
Niger,29.71259923,0.0031,0.7236,0.7205,0.107532643
Nigeria,41.88845311,0.0017,1,0.9983,0.151900455
Norway,17.19655553,6.00E-04,0.9852,0.9846,0.096508158
Oman,1.487568369,1.00E-04,0.1185,0.1184,0.010753552
Pakistan,18.55510582,1.00E-04,0.7264,0.7263,0.15935274
Panama,34.88612148,0.0011,0.7778,0.7767,0.207361076
Papua New Guinea,15.00700368,0.0011,0.6491,0.648,0.130214423
Paraguay,46.33839006,0.1308,0.9898,0.859,0.129997053
Peru,23.12051305,1.00E-04,1,0.9999,0.144673691
Philippines,23.71990923,0.0016,0.7778,0.7762,0.170257133
Poland,50.78098653,0.0338,0.9876,0.9538,0.138248754
Portugal,30.27916501,0.0413,0.7147,0.6734,0.120049078
Qatar,1.921548534,4.00E-04,0.0419,0.0415,0.01156312
Republic of Korea,11.63461805,0.0029,0.5082,0.5053,0.106567519
Romania,58.16161296,0.0189,1,0.9811,0.251570248
Russian Federation,42.48489886,2.00E-04,1.0002,1,0.245695049
Rwanda,30.68237457,0.0034,0.7594,0.756,0.135767419
Saint Kitts and Nevis,33.61671156,0.2365,0.3793,0.1428,0.040811701
Saint Lucia,31.77450987,0.1531,0.5011,0.348,0.087931545
Saint Vincent and the Grenadines,26.66795161,0.0988,0.3926,0.2938,0.079552435
Samoa,17.22907383,0.0372,0.3167,0.2795,0.076860908
San Marino,42.01054805,0.2618,0.5007,0.2389,0.095778252
Sao Tome and Principe,25.14232902,0.0599,0.4778,0.4179,0.125930245
Saudi Arabia,1.283490292,1.00E-04,0.1635,0.1634,0.018090342
Senegal,22.8559696,2.00E-04,0.5709,0.5707,0.12873339
Sierra Leone,28.35681604,0.0182,0.492,0.4738,0.103928511
Singapore,29.84621704,0.0626,0.3312,0.2686,0.087920918
Slovakia,45.32606679,0.0339,0.9404,0.9065,0.224107675
Slovenia,32.07225316,0.0185,0.8378,0.8193,0.172961122
Solomon Islands,8.317787387,0.0016,0.3128,0.3112,0.071472426
Somalia,15.22351584,1.00E-04,0.4444,0.4443,0.088542051
South Africa,35.24154164,1.00E-04,0.9785,0.9784,0.19588827
Spain,30.12673839,0.0035,0.9743,0.9708,0.154646058
Sri Lanka,39.06892373,0.0036,0.7936,0.79,0.199866729
Suriname,39.66958545,0.0285,0.5556,0.5271,0.127878647
Swaziland,34.51292353,0.0958,0.7609,0.6651,0.105220512
Sweden,28.24796737,0.0017,0.9831,0.9814,0.104904306
Switzerland,20.20184086,0.0037,0.7468,0.7431,0.1709893
Syrian Arab Republic,30.67641614,3.00E-04,0.7778,0.7775,0.148824754
Tajikistan,27.50837403,1.00E-04,0.9632,0.9631,0.274654769
Thailand,26.60749722,0.0055,0.7302,0.7247,0.147622671
The former Yugoslav Republic of Macedonia,32.49372849,0.014,0.8993,0.8853,0.208283976
Timor-Leste,39.53353386,0.0881,0.8898,0.8017,0.199396303
Togo,44.41453279,0.1182,0.9018,0.7836,0.116752312
Tonga,48.31635931,0.1503,0.5556,0.4053,0.117213414
Trinidad and Tobago,29.06678402,0.1194,0.5851,0.4657,0.096847182
Tunisia,18.43034585,1.00E-04,0.8867,0.8866,0.179300509
Turkey,41.58355297,0.0044,1,0.9956,0.205251269
Turkmenistan,19.44037621,1.00E-04,0.7778,0.7777,0.135499773
Uganda,38.50047678,7.00E-04,0.989,0.9883,0.15013318
Ukraine,74.57158371,0.0041,1.0002,0.9961,0.22619774
United Arab Emirates,0.331803017,1.00E-04,0.0685,0.0684,0.013897041
United Kingdom,33.06494997,8.00E-04,1,0.9992,0.17267389
United Republic of Tanzania,46.94071173,5.00E-04,0.95,0.9495,0.17022626
United States of America,42.59175123,1.00E-04,1,0.9999,0.206410488
Uruguay,66.82837465,0.012,1.0001,0.9881,0.265508843
Uzbekistan,26.59445942,1.00E-04,0.8618,0.8617,0.226557543
Vanuatu,12.89764128,8.00E-04,0.5111,0.5103,0.091610981
Venezuela (Bolivarian Republic of),23.83402062,1.00E-04,0.8913,0.8912,0.142931256
Viet Nam,18.13566687,0.0014,0.652,0.6506,0.165673151
Yemen,0.532248557,1.00E-04,0.1085,0.1084,0.011783456
Zambia,50.09036633,0.0047,0.9556,0.9509,0.131977932
Zimbabwe,40.76995201,0.0018,0.9925,0.9907,0.165379027
Sudan,21.74067185,1.00E-04,0.7704,0.7703,0.141505029
South Sudan,37.13076161,0.02,0.9638,0.9438,0.165843628
Montenegro,22.07773644,0.0173,0.7075,0.6902,0.135341504
Serbia,51.83362019,0.0124,1,0.9876,0.252961006
Egypt,3.716283182,1.00E-04,0.33,0.3299,0.046149867
