Country,Weighted Average,Minimum,Maximum,Range,Standard deviation
Malawi,58.62114648,7.00E-04,1,0.9993,0.272367519
Malaysia,27.83247813,0.0034,0.7589,0.7555,0.214588743
Mali,51.1856305,0.0373,1.0001,0.9628,0.23736611
Malta,67.29581341,0.3218,0.76,0.4382,0.123414585
Mauritania,26.41805239,0.0033,0.9448,0.9415,0.144093722
Mauritius,49.00065187,0.2227,0.643,0.4203,0.122387584
Mexico,35.68007938,1.00E-04,1,0.9999,0.239144367
Republic of Moldova,79.87761023,0.1311,0.9985,0.8674,0.133055498
Monaco,6.123454045,0.0318,0.1504,0.1186,0.045925864
Mongolia,29.52375296,0.0072,1,0.9928,0.152753246
Morocco,36.83531085,0.0024,0.9967,0.9943,0.24546701
Mozambique,71.02900277,0.0146,1.0001,0.9855,0.190099638
Myanmar,28.27014746,0.001,0.9284,0.9274,0.256463014
Namibia,31.77403262,6.00E-04,0.978,0.9774,0.17515332
Nepal,16.86215208,4.00E-04,0.8391,0.8387,0.268151135
Netherlands,74.96422122,0.0167,1.0001,0.9834,0.140361504
New Zealand,27.05773534,0.0016,0.9992,0.9976,0.212394903
Nicaragua,52.87602355,0.0028,1,0.9972,0.24107314
Niger,39.38186179,0.0034,0.9646,0.9612,0.132061005
Nigeria,61.4302799,0.0017,1,0.9983,0.192441715
Norway,15.76142302,0.0015,0.9142,0.9127,0.165912433
Oman,4.059936818,0.0138,0.0789,0.0651,0.016349505
Pakistan,28.67877613,5.00E-04,1,0.9995,0.241643943
Panama,32.96612428,0.0017,0.956,0.9543,0.238793297
Papua New Guinea,29.20805548,0.0016,0.888,0.8864,0.25141934
Paraguay,65.59742109,0.0767,0.9996,0.9229,0.156844333
Peru,39.49748087,8.00E-04,0.9552,0.9544,0.2496754
Philippines,32.97935409,0.0053,0.8373,0.832,0.228461924
Poland,76.603162,0.0206,1,0.9794,0.173973482
Portugal,31.07719096,0.0078,0.9144,0.9066,0.198173509
Republic of Korea,23.70151506,0.0039,1,0.9961,0.255028749
Romania,55.6663822,0.003,1.0001,0.9971,0.315235215
Russian Federation,54.74179746,1.00E-04,1.0003,1.0002,0.274075319
Rwanda,28.30330858,0.0028,0.7382,0.7354,0.184265871
Saint Kitts and Nevis,57.13202657,0.2836,0.8832,0.5996,0.173937381
Saint Lucia,34.38557817,0.1143,0.9422,0.8279,0.240788088
Saint Vincent and the Grenadines,27.74974869,0.0488,0.8294,0.7806,0.216633104
Samoa,22.39787574,0.0508,0.4891,0.4383,0.113531081
San Marino,28.10655516,0.0653,0.3757,0.3104,0.129491513
Sao Tome and Principe,23.99040004,0.0251,0.6081,0.583,0.171593709
Saudi Arabia,2.909801066,0.01,0.0522,0.0422,0.014226999
Senegal,55.04866402,0.0579,0.9341,0.8762,0.160674743
Sierra Leone,43.63416217,0.0182,0.7658,0.7476,0.158978118
Singapore,63.01446436,0.4032,0.6689,0.2657,0.081510512
Slovakia,43.62553123,0.0073,1.0001,0.9928,0.331626814
Slovenia,28.77362289,0.0044,0.9738,0.9694,0.259183251
Solomon Islands,20.97790648,0.0028,0.768,0.7652,0.185682177
Somalia,23.22016551,3.00E-04,0.9355,0.9352,0.139452499
South Africa,46.9745281,0.007,0.9994,0.9924,0.224663045
Spain,26.97521284,0.0012,0.8695,0.8683,0.180032706
Sri Lanka,57.9357643,0.0056,0.9662,0.9606,0.235579376
Suriname,52.10416394,0.0241,0.9119,0.8878,0.180459366
Swaziland,48.02174572,0.0742,0.8588,0.7846,0.182430915
Sweden,30.9974491,0.0037,0.99,0.9863,0.145019338
Switzerland,29.39130595,0.0011,0.9424,0.9413,0.248606081
Syrian Arab Republic,35.60244947,0.0051,0.863,0.8579,0.181924167
Tajikistan,23.82124719,5.00E-04,0.9946,0.9941,0.264312086
Thailand,44.50341961,0.0073,1,0.9927,0.272339214
The former Yugoslav Republic of Macedonia,26.93254228,0.0031,0.935,0.9319,0.246417511
Timor-Leste,32.92167696,0.0148,0.9998,0.985,0.255218057
Togo,60.23795252,0.0829,1,0.9171,0.169316672
Tonga,67.6848977,0.2435,0.7682,0.5247,0.140504454
Trinidad and Tobago,63.0876031,0.0342,0.9631,0.9289,0.275946775
Tunisia,35.43314216,0.0625,0.9943,0.9318,0.14482167
Turkey,30.589096,0.0024,1,0.9976,0.245004395
Turkmenistan,18.43410019,0.0014,0.7776,0.7762,0.111744947
Uganda,63.48808329,3.00E-04,1.0001,0.9998,0.248206309
Ukraine,76.92969333,0.0074,1.0003,0.9929,0.211898249
United Arab Emirates,4.29,0.0429,0.0429,0,0
United Kingdom,47.5615717,0.0071,1,0.9929,0.238491207
United Republic of Tanzania,63.35577637,2.00E-04,1.0001,0.9999,0.2213563
United States of America,51.33841765,1.00E-04,1.0003,1.0002,0.302396752
Uruguay,72.37971518,0.0263,1.0001,0.9738,0.231002603
Uzbekistan,28.53219534,4.00E-04,1,0.9996,0.226458263
Vanuatu,28.59958802,0.0012,0.746,0.7448,0.191762115
Venezuela (Bolivarian Republic of),45.52438211,0.0044,1,0.9956,0.289261572
Viet Nam,29.48584024,0.0017,0.7778,0.7761,0.269143272
Zambia,74.05933859,0.0061,1.0001,0.994,0.150802239
Zimbabwe,60.98977541,0.0062,1.0001,0.9939,0.217843757
Sudan,48.41530679,0.0037,1,0.9963,0.194740196
South Sudan,72.38485964,0.0345,1.0001,0.9656,0.177452471
Montenegro,15.23876418,0.0103,0.8188,0.8085,0.131743579
Serbia,54.56662391,0.0031,1.0001,0.997,0.349934723
Egypt,22.93347974,0.0167,0.3333,0.3166,0.084648331
