Country,Weighted Average,Minimum,Maximum,Range,Standard deviation
Lithuania,47.13093121,0.1806,0.9151,0.7345,0.147623621
Luxembourg,31.4600813,0.1992,0.5339,0.3347,0.100563137
Madagascar,39.7926037,0.0048,1,0.9952,0.253259744
Malawi,45.70886072,0.003,0.9998,0.9968,0.183712057
Malaysia,14.30208048,0.0023,0.513,0.5107,0.101398016
Mali,28.32325987,1.00E-04,1.0001,1,0.20872778
Malta,70.28131464,0.4635,0.7703,0.3068,0.096016278
Mauritania,15.13132826,1.00E-04,0.5036,0.5035,0.117848541
Mauritius,36.87452856,0.1832,0.4971,0.3139,0.091556192
Mexico,33.47208044,1.00E-04,1,0.9999,0.201941372
Republic of Moldova,91.3864116,0.1464,1.0002,0.8538,0.156576405
Monaco,23.52970298,0.0893,0.4553,0.366,0.140199918
Mongolia,37.13947587,1.00E-04,0.9447,0.9446,0.148811934
Morocco,27.29463943,1.00E-04,0.9364,0.9363,0.223770798
Mozambique,57.36890973,0.0018,1.0001,0.9983,0.188804264
Myanmar,17.17461392,9.00E-04,0.6054,0.6045,0.155780939
Namibia,20.57563452,2.00E-04,0.5572,0.557,0.106789629
Nepal,14.24278374,1.00E-04,0.8555,0.8554,0.220188474
Netherlands,42.31977334,0.0036,0.7382,0.7346,0.104776341
New Zealand,25.38673155,0.0016,0.9323,0.9307,0.172063957
Nicaragua,52.7280307,0.0033,1,0.9967,0.210563081
Niger,32.21603629,0.0031,0.6592,0.6561,0.101634194
Nigeria,42.04464379,0.0017,1,0.9983,0.153287129
Norway,18.64553409,0.0017,0.9852,0.9835,0.108723401
Oman,1.970220086,1.00E-04,0.2212,0.2211,0.026455653
Pakistan,20.08729083,1.00E-04,0.9,0.8999,0.163491429
Panama,27.93245947,0.0011,0.8944,0.8933,0.198540779
Papua New Guinea,15.67145593,0.0011,0.6491,0.648,0.13617404
Paraguay,45.61557984,0.1307,0.9383,0.8076,0.131481087
Peru,24.36199909,1.00E-04,1,0.9999,0.144220502
Philippines,24.34704321,0.0016,0.7778,0.7762,0.178351461
Poland,51.99511566,0.0252,0.9876,0.9624,0.14327691
Portugal,33.25112739,0.0414,0.9075,0.8661,0.146731867
Qatar,1.921548534,4.00E-04,0.0419,0.0415,0.01156312
Republic of Korea,16.04756977,0.0029,0.6246,0.6217,0.142154544
Romania,58.86060334,0.0145,1,0.9855,0.251706598
Russian Federation,45.83000426,2.00E-04,1.0003,1.0001,0.244500313
Rwanda,30.39317207,0.0034,0.7812,0.7778,0.131639455
Saint Kitts and Nevis,53.71625185,0.4179,0.6306,0.2127,0.064614324
Saint Lucia,28.19625836,0.1348,0.4149,0.2801,0.071033743
Saint Vincent and the Grenadines,22.3015599,0.0852,0.3512,0.266,0.076004145
Samoa,17.00793198,0.0372,0.3985,0.3613,0.079595444
San Marino,44.24301596,0.3255,0.5113,0.1858,0.071699662
Sao Tome and Principe,23.00556441,0.0494,0.4778,0.4284,0.129742905
Saudi Arabia,1.53253168,1.00E-04,0.1643,0.1642,0.024698986
Senegal,27.61767456,6.00E-04,0.7196,0.719,0.118521267
Sierra Leone,29.00927627,0.0182,0.492,0.4738,0.105611167
Singapore,29.09943779,0.0661,0.3277,0.2616,0.081586049
Slovakia,45.80082486,0.0252,0.9735,0.9483,0.228236338
Slovenia,32.7448928,0.016,0.8449,0.8289,0.188158269
Solomon Islands,8.35828532,0.0016,0.3128,0.3112,0.072426312
Somalia,14.57296613,1.00E-04,0.4778,0.4777,0.090747898
South Africa,36.08605032,1.00E-04,0.9785,0.9784,0.184386734
Spain,32.55153409,7.00E-04,0.9787,0.978,0.166033099
Sri Lanka,39.90329227,0.0036,0.7906,0.787,0.190396324
Suriname,32.53725447,0.0214,0.5553,0.5339,0.107050713
Swaziland,34.35030105,0.0757,0.6562,0.5805,0.101676255
Sweden,27.66370602,0.0027,0.9831,0.9804,0.110168789
Switzerland,25.67800719,0.0038,0.7489,0.7451,0.189981599
Syrian Arab Republic,36.89197813,5.00E-04,0.8936,0.8931,0.181077363
Tajikistan,33.20980504,1.00E-04,0.9469,0.9468,0.270952911
Thailand,27.91271192,0.0057,0.7476,0.7419,0.147633841
The former Yugoslav Republic of Macedonia,33.2002685,0.014,0.9025,0.8885,0.213403318
Timor-Leste,38.82566844,0.0881,0.7795,0.6914,0.198061201
Togo,38.93443823,0.1136,0.8907,0.7771,0.109643286
Tonga,48.65015542,0.1831,0.5556,0.3725,0.107209841
Trinidad and Tobago,35.96295133,0.1194,0.6412,0.5218,0.095620218
Tunisia,22.04070122,1.00E-04,0.9246,0.9245,0.180857241
Turkey,42.16360754,0.0044,1,0.9956,0.208159165
Turkmenistan,20.75189239,0.0014,0.7778,0.7764,0.150817762
Uganda,38.82294308,7.00E-04,0.9895,0.9888,0.150042178
Ukraine,74.71337392,0.0041,1.0003,0.9962,0.226067563
United Arab Emirates,7.040061157,8.00E-04,0.1667,0.1659,0.055733612
United Kingdom,33.50084224,8.00E-04,0.9779,0.9771,0.160817804
United Republic of Tanzania,46.9027923,5.00E-04,0.9845,0.984,0.164657281
United States of America,43.70123359,1.00E-04,1.0001,1,0.216549315
Uruguay,65.32217246,0.012,1,0.988,0.258297073
Uzbekistan,26.60422342,6.00E-04,0.8485,0.8479,0.218839106
Vanuatu,12.67234147,7.00E-04,0.5111,0.5104,0.092142299
Venezuela (Bolivarian Republic of),27.09944032,1.00E-04,0.8828,0.8827,0.161923154
Viet Nam,17.81430431,0.0015,0.5873,0.5858,0.15433446
Yemen,0.532248557,1.00E-04,0.1085,0.1084,0.011783456
Zambia,49.01246761,0.0055,0.9469,0.9414,0.120282937
Zimbabwe,40.12046793,0.0028,0.9887,0.9859,0.159934945
Sudan,21.68322736,1.00E-04,0.7629,0.7628,0.141958409
South Sudan,36.86251425,0.02,0.959,0.939,0.165940078
Montenegro,22.33299087,0.0165,0.6727,0.6562,0.131852467
Serbia,52.36657854,0.0197,1,0.9803,0.251209992
Egypt,3.929202218,1.00E-04,0.55,0.5499,0.056180049
