Country,Weighted Average,Minimum,Maximum,Range,Standard deviation
Afghanistan,19.45489378,1.00E-04,0.7778,0.7777,0.150099565
Albania,27.41563745,0.0084,0.956,0.9476,0.218524494
Algeria,18.01234525,1.00E-04,0.9999,0.9998,0.237425165
Andorra,3.155853175,0.0175,0.0409,0.0234,0.007641623
Angola,36.32573605,4.00E-04,0.7651,0.7647,0.098306987
Antigua and Barbuda,55.56787213,0.3776,0.7265,0.3489,0.075260958
Argentina,47.37635079,1.00E-04,1.0001,1,0.275048989
Armenia,52.58377621,0.0249,0.9998,0.9749,0.251218138
Australia,31.5520105,0.0017,1,0.9983,0.125849208
Austria,30.4030085,0.0141,0.8947,0.8806,0.205822388
Azerbaijan,53.46020231,0.0053,0.9998,0.9945,0.23022604
Bahamas,35.91792906,0.2665,0.5729,0.3064,0.070672585
Bahrain,1.425322882,0.0068,0.0497,0.0429,0.010487121
Bangladesh,40.4286963,0.004,0.6691,0.6651,0.11402524
Barbados,65.93120794,0.5649,0.9065,0.3416,0.126529968
Belarus,57.61426018,0.1667,0.7778,0.6111,0.171799086
Belgium,50.49051945,0.0306,0.8766,0.846,0.158520518
Belize,31.08307122,0.029,0.5867,0.5577,0.15144424
Benin,52.02688448,0.1667,0.9486,0.7819,0.112553666
Bhutan,2.969948219,0.0011,0.3831,0.382,0.076956628
Bolivia (Plurinational State of),43.2214251,3.00E-04,0.9971,0.9968,0.185034687
Bosnia and Herzegovina,44.70875573,0.0316,0.9862,0.9546,0.207972943
Botswana,31.10117716,1.00E-04,0.5547,0.5546,0.116783986
Brazil,30.15858954,8.00E-04,0.9911,0.9903,0.129391116
Brunei Darussalam,18.9488329,0.0093,0.3077,0.2984,0.074187757
Bulgaria,50.484632,0.0299,1,0.9701,0.262407169
Burkina Faso,42.44674668,0.1664,0.9699,0.8035,0.138934779
Burundi,26.468264,0.0228,0.6271,0.6043,0.080263809
Cambodia,33.78285523,0.0115,0.7476,0.7361,0.141610277
Cameroon,34.90825714,0.0072,0.8968,0.8896,0.136471895
Canada,38.56878336,0.001,1.0002,0.9992,0.210668431
Cabo Verde,15.97627543,0.0358,0.252,0.2162,0.058959665
Central African Republic,36.72984963,0.0788,0.7729,0.6941,0.087672774
Chad,31.81107114,1.00E-04,0.9096,0.9095,0.16961102
Chile,30.63953812,1.00E-04,0.9999,0.9998,0.237497973
China,29.31209302,1.00E-04,1,0.9999,0.211155422
Colombia,26.09462604,0.001,0.7929,0.7919,0.138760163
Comoros,17.7598616,0.0206,0.6898,0.6692,0.14966668
Congo,27.0083426,0.0103,0.6353,0.625,0.070701389
Costa Rica,25.5019379,9.00E-04,0.76,0.7591,0.184876829
Croatia,44.65158389,0.0056,0.9593,0.9537,0.210261429
Cuba,46.32882674,0.0318,0.982,0.9502,0.204425594
Cyprus,28.67622224,0.0611,0.7778,0.7167,0.133426723
Czech Republic,40.94046089,0.108,0.9778,0.8698,0.173111184
Côte d&#39;Ivoire,34.08859057,0.0144,0.8624,0.848,0.091849315
Democratic People&#39;s Republic of Korea,22.64691951,0.0038,1,0.9962,0.239591777
Democratic Republic of the Congo,33.52331551,0.0011,0.9994,0.9983,0.100116274
Denmark,58.0121864,0.2174,0.9698,0.7524,0.172135646
Djibouti,4.83086254,6.00E-04,0.1667,0.1661,0.040332022
Dominica,24.19436623,0.1075,0.6369,0.5294,0.118119584
Dominican Republic,53.65680162,0.1522,0.9999,0.8477,0.178888014
Ecuador,28.19975885,0.0031,0.9218,0.9187,0.168651395
El Salvador,33.00031555,0.0143,0.8614,0.8471,0.183954661
Equatorial Guinea,18.37239181,0.0356,0.4882,0.4526,0.082718459
Eritrea,16.73419794,1.00E-04,0.5512,0.5511,0.105632053
Estonia,31.84730269,0.0027,0.6907,0.688,0.081022074
Ethiopia,30.48086956,3.00E-04,1,0.9997,0.186645709
Fiji,14.41571728,0.0151,0.6322,0.6171,0.125395461
Finland,24.1449644,0.0017,0.676,0.6743,0.0885604
France,45.94986634,0.0029,1,0.9971,0.182049941
Gabon,22.02014514,0.0286,0.4073,0.3787,0.068000257
Gambia,36.12268944,0.2051,0.4831,0.278,0.051607765
Georgia,37.06023533,0.0067,1,0.9933,0.317128125
Germany,44.0529244,0.0064,1,0.9936,0.144300923
Ghana,40.56747972,0.0039,0.9454,0.9415,0.134387283
Greece,23.57821839,0.0028,0.8404,0.8376,0.136002165
Grenada,42.79042153,0.3131,0.5326,0.2195,0.060729525
Guatemala,34.6252419,0.0064,0.8614,0.855,0.219039872
Guinea-Bissau,52.12714716,0.2111,0.8556,0.6445,0.140649252
Guinea,33.52545117,0.0315,0.9191,0.8876,0.184017485
Guyana,29.51518241,0.0372,0.5319,0.4947,0.097565186
Haiti,54.0185957,0.1157,1,0.8843,0.187528279
Holy See,17.21,0.1721,0.1721,0,0
Honduras,35.83992513,0.0142,0.9787,0.9645,0.200598477
Hungary,64.26259477,0.1013,1,0.8987,0.173937156
Iceland,17.98,0.1798,0.1798,0,0
India,39.9524971,5.00E-04,1,0.9995,0.220982222
Indonesia,17.94287255,6.00E-04,1,0.9994,0.13920246
Iran (Islamic Republic of),20.73747251,1.00E-04,0.8899,0.8898,0.142105606
Iraq,20.33817601,1.00E-04,0.7778,0.7777,0.137152818
Ireland,34.38579948,0.0075,0.77,0.7625,0.166760952
Israel,31.29224393,0.016,0.7778,0.7618,0.172273029
Italy,29.81475135,0.0029,0.9998,0.9969,0.157568563
Jamaica,28.43808762,0.0248,0.5556,0.5308,0.100879042
Japan,26.31785314,0.0029,0.9654,0.9625,0.216306152
Jordan,19.4242335,1.00E-04,0.4261,0.426,0.10223832
Kazakhstan,32.74936879,1.00E-04,1,0.9999,0.164843289
Kenya,41.38945292,0.0017,1,0.9983,0.21052217
Kuwait,1.050933561,4.00E-04,0.0333,0.0329,0.007542636
Kyrgyzstan,33.54961519,3.00E-04,0.9001,0.8998,0.244066557
Lao People&#39;s Democratic Republic,11.30411503,0.0035,0.634,0.6305,0.122049304
Latvia,40.17826764,0.0047,0.8337,0.829,0.089388708
Lebanon,30.251607,0.0056,0.7545,0.7489,0.13220637
Lesotho,35.65037049,0.0776,0.6445,0.5669,0.124864516
Liberia,22.6579745,0.0885,0.3895,0.301,0.045326111
Libya,6.05200431,1.00E-04,0.6419,0.6418,0.102403951
Liechtenstein,21.80832118,0.0452,0.3758,0.3306,0.10693387
Lithuania,46.53218746,0.1841,0.9151,0.731,0.147290446
Luxembourg,32.09834819,0.1973,0.5309,0.3336,0.09585513
Madagascar,38.53042609,0.0048,1,0.9952,0.249618887
Malawi,45.63752005,0.001,0.9999,0.9989,0.188163741
Malaysia,12.96029387,0.0023,0.4556,0.4533,0.090078863
Mali,29.02271633,1.00E-04,1.0001,1,0.207634203
Malta,71.9258802,0.4635,0.7702,0.3067,0.084753572
Mauritania,18.54608351,1.00E-04,0.6776,0.6775,0.128645357
Mauritius,36.81200197,0.1832,0.4971,0.3139,0.091965685
