Country,Weighted Average,Minimum,Maximum,Range,Standard deviation
Mexico,33.37445979,1.00E-04,1,0.9999,0.199447776
Republic of Moldova,91.17790562,0.1464,1.0002,0.8538,0.157355201
Monaco,22.32050232,0.0893,0.4311,0.3418,0.130973814
Mongolia,32.10419006,1.00E-04,0.9302,0.9301,0.154421331
Morocco,29.745938,1.00E-04,0.9069,0.9068,0.237989951
Mozambique,56.21953195,0.0018,1.0001,0.9983,0.182117742
Myanmar,17.78177595,9.00E-04,0.6062,0.6053,0.15724814
Namibia,21.25439589,2.00E-04,0.5572,0.557,0.103643754
Nepal,13.83815042,4.00E-04,0.7017,0.7013,0.212768126
Netherlands,42.3391866,0.0036,0.7382,0.7346,0.104722562
New Zealand,27.18030303,0.0016,0.9317,0.9301,0.175861397
Nicaragua,44.78700567,0.0033,1,0.9967,0.181561365
Niger,30.87254355,0.0031,0.73,0.7269,0.111290984
Nigeria,42.52174751,0.0017,1,0.9983,0.153935567
Norway,19.72093415,0.0017,0.7687,0.767,0.104622064
Oman,2.239192139,1.00E-04,0.2212,0.2211,0.031751039
Pakistan,20.12810083,1.00E-04,0.8858,0.8857,0.171180792
Panama,24.86408409,0.0011,0.7729,0.7718,0.177853489
Papua New Guinea,15.75033397,0.0011,0.6617,0.6606,0.134999328
Paraguay,48.65995167,0.1355,0.961,0.8255,0.163258311
Peru,23.47299503,1.00E-04,0.8531,0.853,0.139380705
Philippines,23.80961231,0.0016,0.7778,0.7762,0.177542242
Poland,50.86053422,0.0338,0.9876,0.9538,0.142096562
Portugal,32.8471968,0.0413,0.841,0.7997,0.145810127
Qatar,1.921548534,4.00E-04,0.0419,0.0415,0.01156312
Republic of Korea,18.59618717,0.0029,0.6877,0.6848,0.155985644
Romania,59.37739598,0.0145,1,0.9855,0.256347638
Russian Federation,48.19464569,3.00E-04,1.0004,1.0001,0.246320784
Rwanda,29.53474381,0.0032,0.7606,0.7574,0.11319854
Saint Kitts and Nevis,47.5956639,0.3669,0.5788,0.2119,0.069542793
Saint Lucia,23.28117511,0.1042,0.3896,0.2854,0.073783384
Saint Vincent and the Grenadines,20.12908847,0.0631,0.468,0.4049,0.094001693
Samoa,17.12414043,0.0372,0.4,0.3628,0.086443343
San Marino,43.65444459,0.3255,0.4738,0.1483,0.062813164
Sao Tome and Principe,22.30877134,0.0494,0.4778,0.4284,0.132527783
Saudi Arabia,1.600365079,1.00E-04,0.1667,0.1666,0.026756546
Senegal,28.95593789,6.00E-04,0.7256,0.725,0.113845885
Sierra Leone,29.03540698,0.0182,0.492,0.4738,0.10564592
Singapore,19.80857166,0.0503,0.2292,0.1789,0.054358908
Slovakia,46.46839087,0.0358,0.9772,0.9414,0.230131187
Slovenia,34.00525359,0.016,0.9059,0.8899,0.201660046
Solomon Islands,8.400517026,0.0018,0.3259,0.3241,0.072623347
Somalia,15.20495177,1.00E-04,0.5533,0.5532,0.102546998
South Africa,36.65904006,1.00E-04,0.9785,0.9784,0.186568652
Spain,32.88345423,0.0052,0.9787,0.9735,0.164566844
Sri Lanka,39.67488617,0.0036,0.7825,0.7789,0.185133677
Suriname,28.92462701,0.011,0.6483,0.6373,0.113225098
Swaziland,34.74903901,0.095,0.6562,0.5612,0.103685131
Sweden,27.37977516,0.0027,0.9831,0.9804,0.121024223
Switzerland,28.78790547,0.0059,0.9531,0.9472,0.191102449
Syrian Arab Republic,37.41681911,5.00E-04,0.9243,0.9238,0.181560057
Tajikistan,35.25753075,2.00E-04,0.8575,0.8573,0.260060028
Thailand,27.51939838,0.0062,0.7476,0.7414,0.14329797
The former Yugoslav Republic of Macedonia,33.41108741,0.014,0.9026,0.8886,0.212793635
Timor-Leste,39.0291365,0.0881,0.8898,0.8017,0.196724774
Togo,39.09956442,0.1136,0.8907,0.7771,0.107367109
Tonga,48.75924545,0.1915,0.5556,0.3641,0.106285234
Trinidad and Tobago,38.57629046,0.1003,0.588,0.4877,0.088684536
Tunisia,22.78487142,1.00E-04,0.9246,0.9245,0.18156477
Turkey,41.75788079,0.0044,1,0.9956,0.210648036
Turkmenistan,19.94261105,0.0014,0.7778,0.7764,0.136391335
Uganda,38.40033407,7.00E-04,0.9824,0.9817,0.14975744
Ukraine,73.69824848,0.0041,1.0002,0.9961,0.21982163
United Arab Emirates,10.3142184,8.00E-04,0.1667,0.1659,0.048493127
United Kingdom,34.64503016,0.0042,0.928,0.9238,0.149442836
United Republic of Tanzania,45.6436722,5.00E-04,0.9845,0.984,0.160657349
United States of America,45.83544652,1.00E-04,1.0001,1,0.226977016
Uruguay,64.74938959,0.012,1,0.988,0.256085326
Uzbekistan,25.45597317,6.00E-04,0.8358,0.8352,0.206932417
Vanuatu,14.68701876,7.00E-04,0.6431,0.6424,0.10977832
Venezuela (Bolivarian Republic of),28.20949514,1.00E-04,1,0.9999,0.192590234
Viet Nam,17.64045845,0.0015,0.5873,0.5858,0.152023122
Yemen,0.532248557,1.00E-04,0.1085,0.1084,0.011783456
Zambia,51.03307369,0.0047,0.9556,0.9509,0.133180972
Zimbabwe,42.17427882,0.0018,0.9978,0.996,0.172061413
Sudan,22.12775007,1.00E-04,0.7778,0.7777,0.146994088
South Sudan,36.57507684,0.02,0.959,0.939,0.166302391
Montenegro,22.45200156,0.0184,0.6815,0.6631,0.133271043
Serbia,53.80962012,0.0197,1,0.9803,0.250966003
Egypt,4.075061938,1.00E-04,0.3333,0.3332,0.057810562
