Country,Weighted Average,Minimum,Maximum,Range,Standard deviation
Afghanistan,17.19323994,6.00E-04,0.9938,0.9932,0.159520241
Albania,20.49221686,9.00E-04,0.9994,0.9985,0.253069994
Algeria,30.43982771,0.0086,0.9804,0.9718,0.178175876
Andorra,0.576273393,0.0016,0.0113,0.0097,0.002906988
Angola,54.32094995,6.00E-04,0.955,0.9544,0.151338855
Antigua and Barbuda,71.28188232,0.4631,0.8339,0.3708,0.0996926
Argentina,59.76288929,6.00E-04,1,0.9994,0.303901782
Armenia,33.38884219,0.0063,0.9997,0.9934,0.258661129
Australia,43.38452177,0.0033,1,0.9967,0.181852768
Austria,23.90096513,0.003,0.9475,0.9445,0.228829944
Azerbaijan,42.09093525,0.0017,0.9744,0.9727,0.243012343
Bahamas,40.78580746,0.2638,1,0.7362,0.126035868
Bangladesh,59.29204743,0.006,0.921,0.915,0.167447709
Barbados,79.24309674,0.6952,0.9092,0.214,0.058431153
Belarus,88.39481947,0.3204,1,0.6796,0.145250911
Belgium,66.19213806,0.0485,0.9928,0.9443,0.221014106
Belize,52.08012644,0.1016,0.9028,0.8012,0.170553657
Benin,72.27029289,0.3156,1,0.6844,0.104575984
Bhutan,3.663924507,0.001,0.7193,0.7183,0.155850384
Bolivia (Plurinational State of),58.94619193,0.0054,1,0.9946,0.288627058
Bosnia and Herzegovina,34.45354517,0.0126,0.9982,0.9856,0.268177525
Botswana,42.07048344,0.0038,0.9773,0.9735,0.160796182
Brazil,50.14183156,0.0082,1,0.9918,0.173553129
Brunei Darussalam,51.05168969,0.0253,0.7288,0.7035,0.195428601
Bulgaria,47.71281116,0.0041,0.9937,0.9896,0.314771974
Burkina Faso,67.46186809,0.1653,1,0.8347,0.165764001
Burundi,31.74036853,0.0202,0.8321,0.8119,0.148788934
Cambodia,52.14789215,0.0155,0.8129,0.7974,0.219322813
Cameroon,64.6627492,0.013,1,0.987,0.224599409
Canada,44.26957272,2.00E-04,1,0.9998,0.266852513
Cabo Verde,13.39139573,0.0053,0.3142,0.3089,0.092903361
Central African Republic,61.7314284,0.0743,1,0.9257,0.143513603
Chad,55.30926061,0.0032,1,0.9968,0.267193057
Chile,30.04115734,2.00E-04,1,0.9998,0.27218112
China,28.05460847,1.00E-04,1,0.9999,0.254033884
