Country,Weighted Average,Minimum,Maximum,Range,Standard deviation
Colombia,44.95214185,0.0019,0.9615,0.9596,0.24823197
Comoros,23.09197031,0.0252,0.8414,0.8162,0.189247184
Congo,61.35359645,0.0245,0.9352,0.9107,0.147596185
Costa Rica,40.40242993,0.0011,0.9713,0.9702,0.274891278
Croatia,54.64515044,0.0045,1,0.9955,0.347988574
Cuba,68.68440693,0.009,1,0.991,0.237580199
Cyprus,16.83981897,0.0129,0.7224,0.7095,0.121567596
Czech Republic,43.46832259,0.0232,1,0.9768,0.231801972
Côte d&#39;Ivoire,60.46135836,0.0318,1,0.9682,0.113698292
Democratic People&#39;s Republic of Korea,16.57307343,0.0017,1,0.9983,0.265230143
Democratic Republic of the Congo,59.63468209,4.00E-04,1,0.9996,0.139286683
Denmark,77.64816808,0.1534,1,0.8466,0.157203168
Djibouti,4.631697653,0.0017,0.1551,0.1534,0.045563772
Dominica,22.35658925,0.0713,0.6478,0.5765,0.134772252
Dominican Republic,46.82598909,0.0269,1,0.9731,0.243795219
Ecuador,36.35101909,0.0031,1,0.9969,0.258388033
El Salvador,47.40127228,0.0257,0.9809,0.9552,0.25187926
Equatorial Guinea,40.59864868,0.0473,0.8439,0.7966,0.159145917
Eritrea,22.25105158,0.0031,0.7699,0.7668,0.135510092
Estonia,46.6762602,0.0036,0.9985,0.9949,0.172951894
Ethiopia,38.97807509,2.00E-04,1,0.9998,0.252649611
Fiji,25.94600854,0.0288,0.8596,0.8308,0.189374614
Finland,35.12234886,0.0017,0.8183,0.8166,0.145948194
France,50.85728536,4.00E-04,1,0.9996,0.265470417
Gabon,44.51814446,0.0712,0.8075,0.7363,0.160219524
Gambia,70.44620917,0.3545,0.8921,0.5376,0.099964226
Georgia,30.67699062,6.00E-04,1,0.9994,0.319302206
Germany,51.83234276,0.004,1,0.996,0.233557908
Ghana,62.1934556,0.0044,1,0.9956,0.159345595
Greece,20.79505777,3.00E-04,0.9532,0.9529,0.211173334
Grenada,33.73638158,0.1732,0.751,0.5778,0.175321909
Guatemala,43.94533931,0.0066,1,0.9934,0.285028646
Guinea-Bissau,66.23045002,0.2293,0.9439,0.7146,0.174320112
Guinea,48.84106104,0.0315,0.9973,0.9658,0.212290933
Guyana,52.30936245,0.0466,0.8784,0.8318,0.199917604
Haiti,31.65353405,0.0199,0.777,0.7571,0.192841845
Holy See,11.18,0.1118,0.1118,0,0
Honduras,36.21079443,0.0152,1,0.9848,0.284536229
Hungary,71.48733661,0.058,0.9985,0.9405,0.164227402
Iceland,15.49130557,0.0908,0.2591,0.1683,0.067256909
India,58.67763511,4.00E-04,1,0.9996,0.241973869
Indonesia,38.34843008,0.0014,1,0.9986,0.252847819
Iran (Islamic Republic of),17.8023131,1.00E-04,0.8323,0.8322,0.146539788
Iraq,28.40541649,0.0077,0.7778,0.7701,0.191083248
Ireland,51.58053885,0.004,1,0.996,0.211417047
Israel,35.4680118,0.0167,0.8893,0.8726,0.239655148
Italy,23.91960269,0.0011,0.9999,0.9988,0.239627352
Jamaica,27.79305026,0.0064,0.5609,0.5545,0.144943662
Japan,23.57242114,0.0015,1,0.9985,0.260801967
Jordan,17.27779015,0.006,0.5649,0.5589,0.079593613
Kazakhstan,33.22710585,8.00E-04,1,0.9992,0.158743941
Kenya,53.93214597,0.0019,1,0.9981,0.231820826
Kyrgyzstan,21.42056562,4.00E-04,0.8501,0.8497,0.230757668
Lao People&#39;s Democratic Republic,16.53807191,0.0044,0.7629,0.7585,0.202435416
Latvia,58.89276629,0.0059,1,0.9941,0.199502696
Lebanon,18.16312413,0.0056,0.9667,0.9611,0.16658851
Lesotho,20.78916517,0.026,0.6101,0.5841,0.123534296
Liberia,52.31100004,0.1584,0.758,0.5996,0.095380532
Libya,24.34176596,0.0367,0.505,0.4683,0.067986053
Liechtenstein,15.21199085,0.0049,0.3624,0.3575,0.120559124
Lithuania,68.58020674,0.3376,1,0.6624,0.214464129
Luxembourg,30.75276689,0.1148,0.7932,0.6784,0.172924255
Madagascar,54.60740437,0.017,1,0.983,0.252073632
Malawi,61.13686252,0.0013,1,0.9987,0.272171779
Malaysia,31.12182254,0.0041,0.7707,0.7666,0.230241587
Mali,48.51748003,0.0373,1,0.9627,0.231117203
Malta,67.29798588,0.3217,0.7601,0.4384,0.123446866
Mauritania,25.19473194,0.0133,0.7456,0.7323,0.140537869
Mauritius,50.18586399,0.2173,0.6832,0.4659,0.127784273
Mexico,36.46875998,2.00E-04,1,0.9998,0.245802933
Republic of Moldova,73.73893479,0.1311,0.9985,0.8674,0.128718583
Monaco,6.116787806,0.0317,0.1504,0.1187,0.045967189
Mongolia,34.48639874,0.0036,1,0.9964,0.181031539
Morocco,34.43563876,0.0024,0.9967,0.9943,0.223874274
Mozambique,74.11822539,0.0163,1,0.9837,0.203045994
Myanmar,28.48697268,0.0011,0.9048,0.9037,0.258127839
Namibia,26.58194449,6.00E-04,0.978,0.9774,0.168941228
Nepal,19.42729047,1.00E-04,0.9993,0.9992,0.304135848
Netherlands,76.01163695,0.0167,1,0.9833,0.14393293
New Zealand,27.39720628,0.0016,0.9992,0.9976,0.231097166
Nicaragua,58.28672735,0.0034,1,0.9966,0.237355485
Niger,41.32655575,0.0034,0.9646,0.9612,0.149843215
Nigeria,62.03900561,0.0017,1,0.9983,0.188761751
Norway,16.33973269,1.00E-04,0.9142,0.9141,0.167405333
Oman,6.064042024,0.0133,0.1656,0.1523,0.036578239
Pakistan,27.67774809,2.00E-04,1,0.9998,0.230874507
Panama,39.8108273,0.0016,0.9563,0.9547,0.264241041
Papua New Guinea,29.92120312,0.0016,0.9102,0.9086,0.255383416
Paraguay,67.24333351,0.0767,0.9994,0.9227,0.153983041
Peru,40.19483312,0.0011,1,0.9989,0.261378388
Philippines,36.92149744,0.0039,0.9862,0.9823,0.241205081
Poland,76.15175502,0.0053,1,0.9947,0.174264812
Portugal,30.64268291,0.0078,0.8422,0.8344,0.194059292
Republic of Korea,21.05146943,0.0026,0.9161,0.9135,0.232859263
Romania,53.35184979,0.0024,1,0.9976,0.304433992
Russian Federation,51.68683665,1.00E-04,1,0.9999,0.286963486
Rwanda,30.54926676,0.0028,0.756,0.7532,0.19858678
Saint Kitts and Nevis,44.27805348,0.2171,0.683,0.4659,0.135059069
Saint Lucia,35.37435506,0.1274,0.7886,0.6612,0.203071492
Saint Vincent and the Grenadines,27.97495434,0.0497,0.8366,0.7869,0.197360356
Samoa,23.85127253,0.0508,0.4846,0.4338,0.122102059
San Marino,30.00761357,0.0653,0.4529,0.3876,0.152574467
Sao Tome and Principe,26.6196188,0.0265,0.6117,0.5852,0.181739872
Saudi Arabia,16.29319589,0.0125,0.322,0.3095,0.100040505
Senegal,53.99219437,0.0381,0.9341,0.896,0.161938429
Sierra Leone,44.92023441,0.0182,0.7658,0.7476,0.162794237
Singapore,68.18744913,0.4072,0.7075,0.3003,0.087885097
Slovakia,41.34339051,0.0053,0.999,0.9937,0.308209649
Slovenia,28.77865675,0.0044,0.9739,0.9695,0.262826208
Solomon Islands,21.07828312,0.0057,0.7451,0.7394,0.178806695
Somalia,22.23566526,3.00E-04,0.7634,0.7631,0.09891912
South Africa,47.49827768,0.007,0.997,0.99,0.225228487
Spain,25.60570996,1.00E-04,0.8673,0.8672,0.175674975
Sri Lanka,58.67282183,0.0056,0.9662,0.9606,0.227180027
Suriname,56.76485883,0.0291,0.7953,0.7662,0.174879472
Swaziland,47.98095912,0.0771,0.9237,0.8466,0.186539719
Sweden,31.99777028,0.0039,0.99,0.9861,0.144801471
Switzerland,24.32026912,0.0011,0.9385,0.9374,0.231563609
Syrian Arab Republic,35.03598827,0.0051,0.9667,0.9616,0.176692507
Tajikistan,23.90918386,1.00E-04,1,0.9999,0.270817231
Thailand,44.12551815,0.0075,0.9449,0.9374,0.265805631
The former Yugoslav Republic of Macedonia,25.89309182,0.0033,0.916,0.9127,0.237504915
Timor-Leste,35.09711144,0.0148,0.9998,0.985,0.267327055
Togo,58.08877381,0.1055,0.9949,0.8894,0.160255375
Tonga,59.64668143,0.2098,0.701,0.4912,0.123180441
Trinidad and Tobago,59.18691459,0.0405,0.7778,0.7373,0.219037897
Tunisia,37.29342679,0.0625,0.9943,0.9318,0.151736806
Turkey,29.97885536,0.0024,1,0.9976,0.236614413
Turkmenistan,19.22820513,0.0013,0.7778,0.7765,0.122255983
Uganda,64.74547902,4.00E-04,1,0.9996,0.246101158
Ukraine,74.18357421,0.0074,1,0.9926,0.200698848
United Arab Emirates,7.678801455,0.0188,0.0809,0.0621,0.025539555
United Kingdom,49.42493474,0.0088,1,0.9912,0.243776481
United Republic of Tanzania,65.32131142,1.00E-04,1,0.9999,0.21924302
United States of America,50.15485937,1.00E-04,1,0.9999,0.303634149
Uruguay,71.47944229,0.0251,1,0.9749,0.24290901
Uzbekistan,26.8818721,4.00E-04,1,0.9996,0.207673778
Vanuatu,31.68070629,0.0012,0.841,0.8398,0.201097265
Venezuela (Bolivarian Republic of),44.50656869,0.0037,1,0.9963,0.253814851
Viet Nam,30.92446758,0.0018,0.7778,0.776,0.266658673
Zambia,75.64346815,0.0067,1,0.9933,0.153904566
Zimbabwe,58.99512106,0.0063,1,0.9937,0.217568377
Sudan,49.81152044,0.0037,1,0.9963,0.198426804
South Sudan,72.13780218,0.0346,1,0.9654,0.176741294
Montenegro,16.1138566,0.011,0.9454,0.9344,0.158212462
Serbia,53.70647549,0.0033,1,0.9967,0.348086902
Egypt,16.55413497,0.0167,0.3333,0.3166,0.068632237
