Country,Weighted Average,Minimum,Maximum,Range,Standard deviation
Afghanistan,14.20676009,1.00E-04,0.9174,0.9173,0.137345126
Albania,20.01261248,9.00E-04,0.9995,0.9986,0.243361259
Algeria,30.14142452,0.0081,0.9139,0.9058,0.149159901
Andorra,0.859821231,0.0035,0.0186,0.0151,0.003819953
Angola,58.03244869,6.00E-04,1,0.9994,0.15721494
Antigua and Barbuda,69.38283564,0.4104,0.7956,0.3852,0.114065913
Argentina,54.58567328,4.00E-04,1.0001,0.9997,0.264771817
Armenia,28.0080168,0.0046,0.9958,0.9912,0.215397392
Australia,43.11666914,0.0012,1,0.9988,0.182283225
Austria,21.37698814,0.0022,0.8645,0.8623,0.206120797
Azerbaijan,34.9983392,0.0018,0.7778,0.776,0.208147877
Bahamas,42.10742274,0.2658,1,0.7342,0.116620827
Bangladesh,57.11656197,0.0062,0.7778,0.7716,0.170150612
Barbados,88.6902014,0.6952,0.9902,0.295,0.112650461
Belarus,86.74129304,0.3203,1.0002,0.6799,0.147273829
Belgium,55.45589886,0.0549,0.9939,0.939,0.203111824
Belize,48.50229431,0.0698,0.9029,0.8331,0.178340691
Benin,72.58341333,0.3302,1,0.6698,0.106320713
Bhutan,2.925373763,6.00E-04,0.6938,0.6932,0.12437396
Bolivia (Plurinational State of),57.99623592,0.0051,1.0001,0.995,0.283480943
Bosnia and Herzegovina,31.49835707,0.0133,0.8952,0.8819,0.222590294
Botswana,45.79582493,0.0034,0.8551,0.8517,0.166915855
Brazil,50.13209231,0.0065,1.0001,0.9936,0.170243138
Brunei Darussalam,35.40466958,0.0154,0.535,0.5196,0.143250729
Bulgaria,44.73068828,0.0045,0.9937,0.9892,0.293261291
Burkina Faso,61.97380216,0.1653,1,0.8347,0.199469812
Burundi,32.17371347,0.0186,0.776,0.7574,0.144496737
Cambodia,50.79207158,0.0146,0.7778,0.7632,0.216864024
Cameroon,58.48265967,0.0129,1,0.9871,0.19323208
Canada,40.56477441,1.00E-04,1.0001,1,0.254903926
Cabo Verde,15.09851797,0.0063,0.3069,0.3006,0.087946903
Central African Republic,59.70245546,0.0743,1.0001,0.9258,0.142088956
Chad,61.61951782,0.0032,1.0002,0.997,0.256869535
Chile,28.27614024,1.00E-04,1,0.9999,0.258473856
China,23.53210793,1.00E-04,1,0.9999,0.235193297
Colombia,40.96482386,0.0019,0.9644,0.9625,0.244070722
Comoros,19.30950512,0.0229,0.7207,0.6978,0.155293613
Congo,59.95535371,0.0246,0.8648,0.8402,0.151170964
Costa Rica,31.34148874,0.001,0.9223,0.9213,0.23757119
Croatia,48.02869966,0.0045,0.999,0.9945,0.305649958
Cuba,72.13453943,0.0103,1.0001,0.9898,0.215054857
Cyprus,16.70844226,0.0132,0.7224,0.7092,0.1164418
Czech Republic,42.81420663,0.0232,0.9851,0.9619,0.199855903
Côte d&#39;Ivoire,58.55611729,0.0231,1,0.9769,0.118926237
Democratic People&#39;s Republic of Korea,17.79018327,0.0026,1,0.9974,0.277456371
Democratic Republic of the Congo,56.77498569,3.00E-04,0.9991,0.9988,0.135513465
Denmark,66.23378343,0.1534,1,0.8466,0.155990972
Dominica,16.8687139,0.0446,0.5784,0.5338,0.122966478
Dominican Republic,50.85776917,0.0317,0.9969,0.9652,0.241870049
Ecuador,32.16790155,0.0029,1,0.9971,0.243309262
El Salvador,43.34164806,0.0251,0.9994,0.9743,0.26797052
Equatorial Guinea,39.1668527,0.0408,0.6845,0.6437,0.162404676
Eritrea,17.2978429,0.0056,0.5494,0.5438,0.108120125
Estonia,43.30559025,0.0036,0.9335,0.9299,0.144688101
Ethiopia,41.75340386,0.0016,1.0001,0.9985,0.250643943
Faroe Islands (Associate Member),6.481791218,0.013,0.2917,0.2787,0.070338283
Fiji,24.41444777,0.03,0.7992,0.7692,0.177015161
Finland,36.02532142,0.0017,0.9012,0.8995,0.151816941
France,50.85384567,8.00E-04,1.0001,0.9993,0.270137499
Gabon,42.21631931,0.0664,0.7409,0.6745,0.147485348
Gambia,70.72876244,0.4631,0.8921,0.429,0.096180196
Georgia,27.18260872,5.00E-04,1,0.9995,0.283269471
Germany,44.768555,0.0052,1,0.9948,0.195233975
Ghana,62.77973002,0.0047,1.0001,0.9954,0.176042728
Greece,18.94978804,3.00E-04,0.9069,0.9066,0.182419838
Grenada,31.56308357,0.1453,0.6982,0.5529,0.180067186
Guatemala,39.00844469,0.0074,0.9994,0.992,0.275366809
Guinea-Bissau,66.86464108,0.2293,0.9439,0.7146,0.167363312
Guinea,48.0959294,0.0394,0.9997,0.9603,0.210743587
Guyana,51.91638474,0.0411,0.8398,0.7987,0.190090136
Haiti,43.35693152,0.0346,0.9992,0.9646,0.248921286
Holy See,11.2,0.112,0.112,0,0
Honduras,34.17315154,0.0081,1,0.9919,0.284795051
Hungary,70.86460564,0.058,0.9953,0.9373,0.154764002
Iceland,18.26805035,0.0442,0.3864,0.3422,0.075697506
India,56.21431398,1.00E-04,1.0001,1,0.236818389
Indonesia,33.74906918,0.0014,1,0.9986,0.235162916
Iran (Islamic Republic of),16.15714194,1.00E-04,0.7778,0.7777,0.127171874
Iraq,25.97579292,0.0077,0.7708,0.7631,0.155116316
Ireland,51.18435797,0.0045,1,0.9955,0.19074312
Israel,34.20861309,0.0167,0.8452,0.8285,0.221525215
Italy,22.06981763,9.00E-04,0.9998,0.9989,0.214161482
Jamaica,36.38651919,0.0085,0.7778,0.7693,0.185780662
Japan,23.09459325,0.0015,1,0.9985,0.25578823
Jordan,20.03743253,0.006,0.6371,0.6311,0.090991777
Kazakhstan,32.60871451,0.0017,0.9871,0.9854,0.154798168
Kenya,55.32627913,0.0029,1.0001,0.9972,0.232014362
