Country,Weighted Average,Minimum,Maximum,Range,Standard deviation
Kyrgyzstan,16.8760737,3.00E-04,0.7778,0.7775,0.207567026
Lao People&#39;s Democratic Republic,16.17614474,0.004,0.7427,0.7387,0.200553351
Latvia,56.96128566,0.0059,1,0.9941,0.189291464
Lebanon,18.42270401,0.0056,0.7537,0.7481,0.155632547
Lesotho,19.60393193,0.0298,0.6101,0.5803,0.121792691
Liberia,50.71767808,0.1577,0.7337,0.576,0.102014362
Libya,25.69652863,0.0636,0.529,0.4654,0.076492588
Liechtenstein,12.84295653,0.0054,0.311,0.3056,0.096457535
Lithuania,66.64686763,0.3204,1.0001,0.6797,0.214716462
Luxembourg,25.98840554,0.1059,0.6285,0.5226,0.124766412
Madagascar,51.46987634,0.0151,1,0.9849,0.254946914
Malawi,57.37783056,6.00E-04,1,0.9994,0.275353413
Malaysia,26.75765945,0.0034,0.7589,0.7555,0.20482854
Mali,46.1818945,0.0167,1,0.9833,0.22972142
Malta,47.69371623,0.2255,0.5412,0.3157,0.089182534
Mauritania,22.81446966,0.0509,0.6906,0.6397,0.137637768
Mauritius,48.92517405,0.2193,0.6832,0.4639,0.133198719
Mexico,36.08945719,1.00E-04,1,0.9999,0.240701443
Republic of Moldova,73.43090024,0.1311,0.9983,0.8672,0.127419496
Monaco,6.123454045,0.0318,0.1504,0.1186,0.045925864
Mongolia,31.98564909,1.00E-04,1,0.9999,0.167222044
Morocco,31.19142233,0.0034,0.7697,0.7663,0.178744318
Mozambique,69.58884613,0.0146,1.0001,0.9855,0.191804256
Myanmar,27.10601682,0.0014,0.9284,0.927,0.251120712
Namibia,29.63359477,6.00E-04,0.978,0.9774,0.175640645
Nepal,15.78958768,1.00E-04,0.7779,0.7778,0.267711564
Netherlands,62.66320507,0.0119,1,0.9881,0.202579889
New Zealand,23.83918724,0.0016,0.857,0.8554,0.206966659
Nicaragua,52.6451339,0.0028,1,0.9972,0.236052029
Niger,38.65639233,0.1225,0.9646,0.8421,0.119597387
Nigeria,58.37092991,0.0017,1,0.9983,0.204273141
Norway,13.53490666,1.00E-04,0.9142,0.9141,0.136251015
Pakistan,26.1908542,6.00E-04,0.7779,0.7773,0.216060957
Panama,30.3518835,0.0017,0.9214,0.9197,0.220614183
Papua New Guinea,28.55593551,0.0018,0.8887,0.8869,0.245330054
Paraguay,63.36971096,0.0767,0.997,0.9203,0.150687111
Peru,36.58604828,8.00E-04,1,0.9992,0.24360357
Philippines,31.55142076,0.004,0.9296,0.9256,0.222541736
Poland,74.7897264,0.0056,0.9998,0.9942,0.172228963
Portugal,27.75812861,0.0078,0.7309,0.7231,0.166466591
Republic of Korea,23.83286051,0.0039,1,0.9961,0.257997863
Romania,51.55760104,0.0024,1.0001,0.9977,0.295891967
Russian Federation,45.90373385,1.00E-04,1.0003,1.0002,0.283618748
Rwanda,30.34182054,0.0027,0.7757,0.773,0.186911992
Saint Kitts and Nevis,55.70339719,0.2836,0.8399,0.5563,0.171329011
Saint Lucia,31.0224443,0.1143,0.731,0.6167,0.18442603
Saint Vincent and the Grenadines,27.63239875,0.0488,0.8294,0.7806,0.217404183
Samoa,21.57083255,0.0508,0.4624,0.4116,0.103839606
San Marino,29.84551265,0.0653,0.4252,0.3599,0.14500365
Sao Tome and Principe,24.06169266,0.0251,0.6081,0.583,0.171927332
Senegal,53.98321393,0.0509,0.9341,0.8832,0.160143355
Sierra Leone,42.06041839,0.0182,0.7581,0.7399,0.150322149
Singapore,59.78527812,0.3874,0.6647,0.2773,0.087729886
Slovakia,40.4822456,0.0056,0.973,0.9674,0.298510782
Slovenia,24.08035758,0.0044,0.9283,0.9239,0.229059603
Solomon Islands,20.30515803,0.0055,0.7464,0.7409,0.181785406
Somalia,39.07831179,0.0022,0.7778,0.7756,0.189161126
South Africa,43.77222593,0.007,0.99,0.983,0.222336499
Spain,26.53186214,8.00E-04,0.8677,0.8669,0.175202652
Sri Lanka,57.00611064,0.0056,0.9662,0.9606,0.235066672
Suriname,50.61880883,0.0225,0.8962,0.8737,0.182878267
Swaziland,46.13724447,0.091,0.9235,0.8325,0.178265097
Sweden,32.63969997,4.00E-04,0.99,0.9896,0.14924871
Switzerland,16.58476958,0.001,0.6734,0.6724,0.167451331
Syrian Arab Republic,35.2020875,0.0051,0.7778,0.7727,0.160650343
Tajikistan,17.74235019,1.00E-04,0.7778,0.7777,0.226810069
Thailand,43.76838347,0.007,1,0.993,0.270743846
The former Yugoslav Republic of Macedonia,23.58459192,0.0033,0.9069,0.9036,0.209939145
Timor-Leste,30.55461594,0.0129,0.9998,0.9869,0.247738406
Togo,61.31211805,0.0829,1,0.9171,0.172924336
Tonga,67.47713705,0.2435,0.7682,0.5247,0.144058268
Trinidad and Tobago,62.53058903,0.0342,0.9631,0.9289,0.277711501
Tunisia,32.68476303,0.0625,0.6967,0.6342,0.107228411
Turkey,26.45619544,0.0024,1,0.9976,0.202413089
Turkmenistan,20.75536155,0.0031,0.7361,0.733,0.112847961
Uganda,63.46060552,3.00E-04,1,0.9997,0.24597279
Ukraine,73.12708956,0.0056,1.0002,0.9946,0.202363519
United Kingdom,46.90660527,0.0077,1,0.9923,0.248607295
United Republic of Tanzania,61.21805954,2.00E-04,1.0001,0.9999,0.220342578
United States of America,47.37184083,1.00E-04,1.0003,1.0002,0.296237525
Uruguay,61.61838665,0.0192,1,0.9808,0.188874806
Uzbekistan,33.96076805,1.00E-04,0.778,0.7779,0.252868347
Vanuatu,27.4650192,0.0012,0.746,0.7448,0.185700371
Venezuela (Bolivarian Republic of),44.36539308,0.0052,1.0001,0.9949,0.282702125
Viet Nam,28.85748899,0.0017,0.7755,0.7738,0.258193292
Zambia,74.35227158,0.0055,1.0001,0.9946,0.15520576
Zimbabwe,59.29129461,0.0062,1.0001,0.9939,0.22803739
Sudan,45.26263539,0.0328,0.9347,0.9019,0.156155523
South Sudan,69.92001288,0.0345,1,0.9655,0.183846073
Montenegro,15.93501371,0.0112,0.7903,0.7791,0.142759119
Serbia,48.20351652,0.0033,1,0.9967,0.303771405
Egypt,21.3979817,0.0167,0.3333,0.3166,0.083474714
